sale_id,store_id,sale_time,sale_status,subtotal_amount,discount_amount,tax_amount,refund_amount,total_amount
56,3,2026-03-19 18:05:00,completed,19.96,0.50,1.73,0,21.19
57,3,2026-04-05 12:35:00,completed,94.98,0.50,8.39,0,102.87
58,2,2026-07-30 16:10:00,completed,104.62,0.00,9.29,0,113.91
59,1,2026-04-18 11:45:00,completed,36.52,0.00,3.24,0,39.76
60,3,2026-04-22 14:50:00,completed,72.39,0.00,6.42,0,78.81
61,3,2025-12-15 16:10:00,completed,61.48,1.50,5.32,0,65.30
62,3,2026-03-07 11:25:00,completed,24.05,0.00,2.13,0,26.18
63,2,2025-12-11 13:30:00,completed,64.69,0.50,5.70,0,69.89
64,1,2026-03-08 08:40:00,completed,75.37,0.00,6.69,0,82.06
65,1,2026-04-22 10:20:00,completed,49.19,2.00,4.19,0,51.38
66,1,2026-06-25 10:25:00,completed,11.96,0.00,1.06,0,13.02
67,3,2025-12-18 12:10:00,completed,70.98,0.00,6.30,0,77.28
68,2,2026-07-31 12:25:00,completed,22.05,0.00,1.96,0,24.01
69,1,2026-05-17 12:25:00,completed,4.98,0.00,0.44,0,5.42
70,2,2025-12-24 20:25:00,completed,96.87,0.00,8.60,0,105.47
71,1,2025-11-15 17:40:00,completed,48.92,2.00,4.16,0,51.08
72,1,2026-03-15 12:35:00,completed,110.85,2.00,9.66,0,118.51
73,1,2026-07-14 15:10:00,completed,16.97,0.00,1.51,0,18.48
74,2,2025-12-25 14:05:00,completed,14.98,2.00,1.15,0,14.13
75,1,2026-06-11 17:10:00,completed,44.92,0.00,3.99,0,48.91
76,3,2026-07-20 13:50:00,completed,49.96,0.50,4.39,0,53.85
77,1,2026-05-21 19:25:00,completed,101.33,0.50,8.95,0,109.78
78,1,2026-06-14 13:20:00,completed,8.58,1.50,0.63,0,7.71
79,3,2025-11-27 16:40:00,completed,147.49,2.50,12.87,0,157.86
80,3,2026-01-19 12:55:00,completed,11.98,1.00,0.97,0,11.95
81,1,2026-06-24 09:10:00,completed,33.45,0.00,2.97,0,36.42
82,3,2026-05-26 20:45:00,completed,61.38,0.00,5.45,0,66.83
83,1,2026-05-30 14:00:00,completed,21.96,0.00,1.95,0,23.91
84,1,2025-12-18 20:55:00,completed,57.93,1.00,5.05,0,61.98
85,1,2026-04-30 13:25:00,completed,75.89,0.00,6.74,0,82.63
86,1,2026-07-20 18:25:00,completed,96.23,1.00,8.45,0,103.68
87,2,2026-04-07 20:50:00,completed,21.94,0.00,1.95,0,23.89
88,1,2025-12-24 11:20:00,completed,48.92,0.00,4.34,0,53.26
89,3,2026-04-11 16:30:00,completed,76.93,2.50,6.61,0,81.04
90,2,2026-07-26 19:25:00,completed,33.83,0.00,3.00,0,36.83
91,3,2026-03-09 12:45:00,completed,21.65,0.00,1.92,0,23.57
92,1,2026-06-10 09:40:00,completed,36.50,0.00,3.24,0,39.74
93,3,2026-07-10 12:50:00,partially_refunded,17.97,0.00,1.59,6.52,19.56
94,3,2026-03-16 10:00:00,completed,46.30,0.00,4.11,0,50.41
95,1,2026-03-05 18:25:00,completed,68.26,2.00,5.88,0,72.14
96,3,2025-12-20 12:30:00,completed,3.49,0.00,0.31,0,3.80
97,1,2025-11-03 13:20:00,completed,4.49,0.00,0.40,0,4.89
98,2,2026-04-04 12:00:00,completed,53.99,1.00,4.70,0,57.69
99,3,2026-06-23 14:25:00,completed,52.71,0.00,4.68,0,57.39
100,2,2026-04-29 17:10:00,completed,63.68,0.00,5.65,0,69.33
101,1,2026-03-22 20:15:00,completed,80.37,2.00,6.96,0,85.33
102,2,2025-11-18 12:25:00,completed,81.90,1.00,7.18,0,88.08
103,1,2026-07-18 16:25:00,completed,46.50,1.00,4.04,0,49.54
104,1,2026-02-16 10:55:00,completed,37.20,0.79,3.23,0,39.64
105,2,2026-01-02 12:05:00,completed,59.42,0.00,5.27,0,64.69
106,1,2026-05-14 12:10:00,completed,39.61,0.00,3.52,0,43.13
107,3,2026-02-27 15:35:00,completed,93.37,4.00,7.93,0,97.30
108,2,2026-05-05 16:15:00,completed,56.91,3.00,4.78,0,58.69
109,3,2026-03-27 13:10:00,completed,37.51,0.00,3.33,0,40.84
110,1,2025-11-26 20:15:00,completed,49.33,0.00,4.38,0,53.71
111,3,2025-11-24 19:10:00,partially_refunded,79.47,0.00,7.05,7.07,86.52
112,3,2025-11-16 13:50:00,completed,4.49,0.00,0.40,0,4.89
113,1,2025-12-28 13:30:00,completed,9.96,0.00,0.88,0,10.84
114,2,2026-05-23 17:30:00,completed,45.71,1.50,3.92,0,48.13
115,3,2025-11-25 19:45:00,completed,55.09,0.50,4.84,0,59.43
116,3,2026-05-15 17:35:00,completed,10.48,0.00,0.93,0,11.41
117,1,2026-07-31 16:40:00,completed,19.96,1.00,1.68,0,20.64
118,2,2026-05-18 08:40:00,completed,96.46,2.00,8.38,0,102.84
119,3,2026-05-12 15:35:00,completed,42.11,0.00,3.74,0,45.85
120,3,2025-12-10 20:55:00,completed,11.98,0.00,1.06,0,13.04
121,2,2026-01-28 11:35:00,completed,12.48,1.50,0.97,0,11.95
122,1,2026-04-02 19:20:00,completed,65.60,1.00,5.73,0,70.33
123,1,2026-03-30 13:45:00,completed,37.93,2.00,3.19,0,39.12
124,1,2026-02-14 13:40:00,completed,90.31,0.00,8.02,0,98.33
125,2,2026-01-18 11:55:00,completed,2.99,0.00,0.27,0,3.26
126,1,2026-05-31 17:40:00,completed,23.24,0.00,2.06,0,25.30
127,2,2025-12-21 13:00:00,completed,19.96,0.00,1.77,0,21.73
128,2,2026-02-17 20:05:00,partially_refunded,43.94,0.00,3.90,15.22,47.84
129,1,2026-04-22 11:20:00,voided,0,0,0,0,0
130,2,2026-04-20 14:45:00,completed,29.96,0.00,2.66,0,32.62
131,2,2026-01-02 08:25:00,completed,130.32,2.50,11.34,0,139.16
132,3,2026-01-28 11:00:00,completed,48.99,0.50,4.30,0,52.79
133,3,2026-02-25 14:40:00,completed,6.99,0.00,0.62,0,7.61
134,2,2025-12-14 16:05:00,completed,48.40,2.00,4.12,0,50.52
135,3,2026-06-07 12:35:00,voided,0,0,0,0,0
136,2,2026-07-28 08:20:00,completed,74.58,2.00,6.44,0,79.02
137,1,2025-11-04 17:25:00,completed,82.41,0.00,7.31,0,89.72
138,2,2026-02-22 18:55:00,completed,63.37,1.00,5.54,0,67.91
139,1,2026-02-25 16:05:00,completed,8.58,0.00,0.76,0,9.34
140,1,2026-02-27 15:00:00,completed,43.53,2.50,3.64,0,44.67
141,3,2026-02-18 15:40:00,completed,107.14,2.29,9.31,0,114.16
142,3,2026-03-31 11:05:00,completed,21.16,0.00,1.88,0,23.04
143,2,2026-05-13 16:00:00,completed,40.42,0.00,3.59,0,44.01
144,3,2026-04-09 13:40:00,completed,49.42,4.00,4.03,0,49.45
145,2,2025-12-19 15:15:00,completed,14.95,0.00,1.33,0,16.28
146,1,2026-07-16 18:05:00,completed,33.94,3.50,2.70,0,33.14
147,1,2026-03-08 16:05:00,completed,42.93,0.00,3.81,0,46.74
148,3,2026-02-08 09:45:00,completed,32.89,3.50,2.61,0,32.00
149,3,2026-05-28 18:45:00,completed,91.94,4.00,7.80,0,95.74
150,2,2026-04-20 10:55:00,completed,4.49,0.00,0.40,0,4.89
151,3,2025-11-22 09:25:00,partially_refunded,55.40,0.00,4.92,4.34,60.32
152,3,2026-07-18 12:45:00,completed,19.47,0.00,1.73,0,21.20
153,1,2026-06-16 15:20:00,completed,41.01,0.00,3.64,0,44.65
154,3,2025-12-07 20:25:00,completed,64.19,0.00,5.70,0,69.89
155,1,2026-04-18 12:00:00,completed,51.61,0.00,4.58,0,56.19
156,2,2026-05-13 14:35:00,completed,62.40,0.00,5.54,0,67.94
157,1,2026-03-27 17:05:00,completed,22.95,0.00,2.04,0,24.99
158,2,2026-07-26 09:00:00,completed,6.99,0.00,0.62,0,7.61
159,1,2026-07-04 19:30:00,completed,90.34,1.00,7.93,0,97.27
160,2,2026-04-29 14:45:00,completed,78.55,1.50,6.84,0,83.89
161,1,2026-04-06 13:45:00,completed,37.12,0.00,3.29,0,40.41
162,3,2026-04-22 15:45:00,completed,62.56,0.00,5.55,0,68.11
163,1,2026-05-22 17:20:00,completed,64.43,0.00,5.72,0,70.15
164,2,2026-05-01 16:30:00,completed,134.23,0.50,11.87,0,145.60
165,1,2026-01-13 13:15:00,completed,57.90,0.00,5.14,0,63.04
166,3,2025-11-08 16:15:00,partially_refunded,91.54,3.00,7.86,10.87,96.40
167,1,2026-02-11 19:50:00,completed,46.30,0.00,4.11,0,50.41
168,3,2026-05-21 14:30:00,completed,15.76,0.00,1.40,0,17.16
169,2,2026-06-28 12:05:00,completed,17.96,0.50,1.55,0,19.01
170,1,2026-01-16 13:55:00,completed,56.16,0.00,4.98,0,61.14
171,3,2026-03-18 17:05:00,completed,14.97,0.00,1.33,0,16.30
172,3,2026-01-10 15:35:00,voided,0,0,0,0,0
173,3,2026-06-16 11:40:00,completed,81.54,2.00,7.06,0,86.60
174,3,2026-07-18 18:30:00,completed,41.32,0.00,3.67,0,44.99
175,1,2026-07-15 19:30:00,completed,41.95,0.00,3.72,0,45.67
176,2,2026-03-28 16:05:00,completed,115.32,0.50,10.19,0,125.01
177,3,2026-06-16 12:15:00,completed,92.84,2.00,8.06,0,98.90
178,2,2025-11-04 15:05:00,completed,94.82,1.00,8.33,0,102.15
179,2,2026-01-12 14:25:00,completed,8.48,0.00,0.75,0,9.23
180,1,2025-12-16 10:20:00,completed,30.95,0.00,2.75,0,33.70
181,3,2026-07-13 09:25:00,completed,68.57,0.00,6.09,0,74.66
182,1,2026-01-21 12:30:00,completed,44.90,0.00,3.98,0,48.88
183,3,2025-11-20 17:20:00,completed,64.69,0.00,5.74,0,70.43
184,3,2026-04-28 10:00:00,completed,33.23,1.50,2.82,0,34.55
185,3,2026-02-08 11:05:00,completed,77.88,0.50,6.87,0,84.25
186,1,2025-12-15 13:25:00,completed,49.42,0.00,4.39,0,53.81
187,2,2025-12-18 19:30:00,completed,72.25,3.50,6.10,0,74.85
188,1,2026-05-12 10:30:00,completed,65.08,1.50,5.64,0,69.22
189,1,2026-02-09 08:05:00,completed,16.47,0.00,1.46,0,17.93
190,1,2026-05-20 18:40:00,completed,31.92,1.50,2.70,0,33.12
191,2,2026-03-12 13:20:00,completed,43.93,2.00,3.72,0,45.65
192,2,2026-06-28 13:25:00,completed,96.84,0.00,8.59,0,105.43
193,3,2026-02-15 09:05:00,completed,37.02,0.50,3.24,0,39.76
194,2,2026-05-17 10:45:00,completed,53.81,1.50,4.64,0,56.95
195,3,2025-12-31 09:20:00,completed,10.98,0.00,0.97,0,11.95
196,3,2026-06-28 09:30:00,completed,23.83,0.00,2.11,0,25.94
197,2,2025-12-10 16:50:00,completed,41.99,0.50,3.68,0,45.17
198,3,2026-02-05 09:25:00,completed,52.99,0.50,4.66,0,57.15
199,1,2026-05-19 20:20:00,completed,35.96,0.00,3.19,0,39.15
200,3,2026-01-05 10:15:00,completed,55.06,0.00,4.89,0,59.95
201,2,2026-04-26 17:20:00,completed,14.86,1.00,1.23,0,15.09
202,3,2025-11-25 09:30:00,completed,22.77,1.00,1.93,0,23.70
203,1,2026-03-31 17:05:00,completed,82.58,1.00,7.24,0,88.82
204,1,2026-03-23 11:35:00,completed,98.84,5.50,8.28,0,101.62
205,2,2026-05-27 17:10:00,completed,18.46,0.00,1.64,0,20.10
206,1,2026-02-08 15:50:00,completed,71.06,2.50,6.08,0,74.64
207,1,2025-11-24 17:20:00,completed,39.43,0.00,3.50,0,42.93
208,3,2026-02-26 14:05:00,completed,18.98,1.00,1.60,0,19.58
209,1,2026-03-22 13:35:00,completed,40.11,0.00,3.56,0,43.67
210,3,2026-03-11 16:00:00,completed,20.85,2.50,1.63,0,19.98
211,2,2026-05-08 20:40:00,completed,33.45,0.00,2.97,0,36.42
212,3,2026-07-07 12:05:00,completed,25.94,1.00,2.21,0,27.15
213,3,2026-06-10 19:45:00,completed,64.76,2.00,5.57,0,68.33
214,2,2026-04-19 08:50:00,voided,0,0,0,0,0
215,1,2026-03-28 09:40:00,completed,12.47,0.00,1.11,0,13.58
216,3,2026-05-28 16:50:00,completed,90.63,2.00,7.87,0,96.50
217,2,2025-12-23 18:55:00,completed,8.98,0.00,0.80,0,9.78
218,2,2025-12-06 11:10:00,completed,63.76,0.00,5.66,0,69.42
219,3,2026-02-08 16:55:00,completed,66.89,0.00,5.94,0,72.83
220,2,2026-04-10 11:05:00,completed,61.39,0.00,5.45,0,66.84
221,3,2026-04-02 14:15:00,completed,58.70,0.00,5.21,0,63.91
222,1,2025-11-10 13:35:00,completed,37.43,2.00,3.14,0,38.57
223,2,2025-12-30 13:15:00,completed,81.89,0.00,7.27,0,89.16
224,2,2026-03-18 11:30:00,completed,95.03,1.50,8.30,0,101.83
225,2,2025-12-09 14:55:00,completed,61.47,0.50,5.41,0,66.38
226,1,2026-02-16 14:05:00,completed,62.90,0.00,5.58,0,68.48
227,3,2026-05-13 09:35:00,completed,41.57,0.00,3.69,0,45.26
228,3,2026-07-30 09:35:00,completed,70.56,0.00,6.26,0,76.82
229,3,2026-03-20 11:00:00,partially_refunded,124.84,0.00,11.08,9.79,135.92
230,2,2025-12-23 18:05:00,partially_refunded,71.37,2.00,6.16,13.04,75.53
231,3,2026-05-12 16:15:00,completed,14.94,1.00,1.24,0,15.18
232,2,2026-01-09 10:05:00,completed,38.93,1.50,3.32,0,40.75
233,2,2025-12-24 12:25:00,completed,81.10,1.00,7.11,0,87.21
234,1,2025-12-05 12:40:00,completed,44.30,0.00,3.93,0,48.23
235,3,2026-07-20 10:00:00,completed,21.25,0.00,1.89,0,23.14
236,3,2026-04-26 17:40:00,completed,13.47,1.00,1.11,0,13.58
237,1,2026-04-18 10:25:00,completed,24.55,0.00,2.18,0,26.73
238,2,2026-06-25 12:25:00,completed,48.89,0.00,4.34,0,53.23
239,2,2026-06-24 13:30:00,completed,32.94,0.00,2.92,0,35.86
240,3,2025-11-06 09:00:00,completed,18.06,1.00,1.51,0,18.57
241,1,2026-04-15 15:30:00,completed,30.93,0.00,2.75,0,33.68
242,1,2025-11-13 16:20:00,completed,77.08,0.00,6.84,0,83.92
243,1,2026-02-07 13:10:00,partially_refunded,62.16,0.00,5.52,8.25,67.68
244,3,2026-06-14 13:50:00,completed,26.95,0.00,2.39,0,29.34
245,2,2026-06-10 15:05:00,completed,53.12,0.00,4.71,0,57.83
246,3,2026-03-27 18:55:00,completed,41.51,3.08,3.41,0,41.84
247,2,2026-01-07 15:15:00,completed,15.96,1.00,1.33,0,16.29
248,3,2026-03-05 14:05:00,completed,84.98,4.00,7.19,0,88.17
249,3,2026-01-05 15:20:00,completed,39.23,0.00,3.48,0,42.71
250,2,2026-07-19 13:00:00,completed,51.91,3.50,4.30,0,52.71
251,3,2026-02-23 17:35:00,completed,80.43,1.00,7.05,0,86.48
252,2,2026-02-02 13:50:00,partially_refunded,100.35,0.50,8.86,16.30,108.71
253,1,2025-12-01 10:40:00,completed,50.91,0.00,4.52,0,55.43
254,2,2025-12-01 16:55:00,completed,34.93,1.50,2.97,0,36.40
255,2,2026-03-15 09:25:00,completed,51.96,0.50,4.57,0,56.03
256,2,2026-05-24 12:35:00,completed,27.94,0.00,2.48,0,30.42
257,1,2025-12-20 12:25:00,voided,0,0,0,0,0
258,1,2026-02-27 20:30:00,completed,33.25,0.00,2.95,0,36.20
259,1,2026-05-29 14:15:00,completed,90.26,1.00,7.92,0,97.18
260,3,2026-03-24 12:10:00,completed,90.85,0.50,8.02,0,98.37
261,1,2026-01-21 20:55:00,completed,41.31,2.00,3.49,0,42.80
262,1,2026-01-19 14:25:00,completed,84.22,1.00,7.39,0,90.61
263,3,2026-04-30 10:00:00,completed,66.38,2.00,5.71,0,70.09
264,2,2026-03-30 20:35:00,completed,17.98,0.00,1.60,0,19.58
265,1,2025-11-17 18:45:00,completed,38.33,2.00,3.22,0,39.55
266,2,2025-12-29 19:30:00,completed,53.09,1.50,4.58,0,56.17
267,1,2026-02-25 13:35:00,completed,4.29,0.00,0.38,0,4.67
268,1,2026-02-05 18:55:00,completed,85.86,2.00,7.44,0,91.30
269,3,2026-07-01 12:45:00,completed,25.96,0.00,2.30,0,28.26
270,1,2025-11-20 20:05:00,completed,28.45,0.50,2.48,0,30.43
271,3,2025-11-15 10:10:00,completed,64.45,1.00,5.63,0,69.08
272,3,2025-11-21 09:15:00,completed,52.30,0.00,4.64,0,56.94
273,3,2026-02-12 20:20:00,completed,19.56,0.00,1.74,0,21.30
274,3,2026-07-15 15:45:00,completed,35.92,0.00,3.19,0,39.11
275,3,2026-05-24 19:50:00,completed,82.86,4.00,7.00,0,85.86
276,2,2026-05-31 12:55:00,completed,51.10,0.00,4.54,0,55.64
277,1,2026-05-01 19:10:00,completed,56.43,0.00,5.01,0,61.44
278,2,2026-07-13 14:45:00,completed,42.72,0.00,3.79,0,46.51
279,1,2025-11-29 10:20:00,completed,18.76,0.00,1.66,0,20.42
280,2,2026-04-24 08:20:00,completed,18.97,0.00,1.68,0,20.65
281,1,2026-04-18 10:40:00,completed,38.53,2.50,3.20,0,39.23
282,2,2026-04-03 10:35:00,completed,26.95,0.00,2.39,0,29.34
283,1,2026-02-23 15:50:00,completed,14.37,0.00,1.28,0,15.65
284,3,2026-02-09 20:00:00,completed,43.43,0.00,3.85,0,47.28
285,3,2025-12-14 19:10:00,completed,60.43,1.50,5.23,0,64.16
286,3,2026-07-23 13:45:00,completed,88.63,3.00,7.60,0,93.23
287,1,2026-04-14 16:55:00,completed,23.95,2.00,1.95,0,23.90
288,3,2026-06-03 16:45:00,completed,86.93,0.00,7.72,0,94.65
289,3,2026-04-07 10:10:00,completed,35.94,0.00,3.19,0,39.13
290,2,2026-04-29 20:20:00,completed,67.46,4.00,5.63,0,69.09
291,1,2026-07-13 10:25:00,completed,18.27,0.00,1.62,0,19.89
292,1,2026-02-02 19:30:00,completed,84.18,2.00,7.29,0,89.47
293,1,2026-01-24 14:40:00,completed,81.06,2.00,7.02,0,86.08
294,3,2025-11-01 12:55:00,completed,65.78,1.00,5.75,0,70.53
295,2,2026-05-30 15:15:00,completed,71.65,2.00,6.18,0,75.83
296,3,2026-07-27 12:40:00,completed,43.97,1.50,3.77,0,46.24
297,3,2026-01-01 17:00:00,completed,59.89,2.00,5.14,0,63.03
298,1,2026-02-09 08:15:00,completed,67.57,2.00,5.82,0,71.39
299,1,2026-01-27 14:50:00,completed,61.90,0.00,5.49,0,67.39
300,1,2025-12-01 08:10:00,completed,64.56,2.50,5.51,0,67.57
301,1,2025-11-06 12:20:00,completed,74.70,0.79,6.56,0,80.47
302,1,2026-04-23 11:15:00,completed,73.72,0.00,6.54,0,80.26
303,2,2026-04-25 18:05:00,completed,11.28,0.50,0.96,0,11.74
304,3,2026-07-27 10:40:00,completed,75.38,1.00,6.60,0,80.98
305,3,2026-07-10 15:40:00,completed,48.10,0.00,4.27,0,52.37
306,2,2026-06-03 12:50:00,completed,60.10,1.00,5.25,0,64.35
307,1,2025-11-16 15:40:00,completed,73.08,1.50,6.35,0,77.93
308,3,2026-03-27 11:50:00,completed,50.69,1.00,4.41,0,54.10
309,2,2025-11-14 11:20:00,completed,50.80,0.00,4.51,0,55.31
310,1,2025-12-09 15:55:00,completed,69.29,1.00,6.06,0,74.35
311,1,2026-01-30 16:50:00,completed,63.88,2.00,5.49,0,67.37
312,1,2026-06-18 11:00:00,completed,112.84,2.00,9.84,0,120.68
313,3,2025-11-11 10:30:00,completed,23.12,0.00,2.05,0,25.17
314,2,2026-06-25 08:20:00,completed,29.46,0.00,2.61,0,32.07
315,1,2025-12-08 13:35:00,voided,0,0,0,0,0
316,1,2026-06-17 10:10:00,completed,51.91,0.50,4.56,0,55.97
317,1,2026-07-14 14:05:00,completed,5.99,0.00,0.53,0,6.52
318,2,2025-12-31 19:55:00,completed,49.92,0.00,4.43,0,54.35
319,2,2025-11-09 18:00:00,completed,67.99,1.50,5.90,0,72.39
320,3,2025-12-10 14:35:00,completed,72.70,0.79,6.38,0,78.29
321,3,2026-06-08 12:55:00,completed,43.92,0.00,3.90,0,47.82
322,2,2026-06-12 08:30:00,completed,50.41,0.00,4.47,0,54.88
323,3,2026-01-02 15:35:00,completed,9.49,0.00,0.84,0,10.33
324,1,2026-02-13 08:25:00,completed,83.07,2.00,7.19,0,88.26
325,3,2025-11-02 12:40:00,completed,59.99,1.00,5.24,0,64.23
326,2,2026-07-28 13:30:00,completed,57.41,0.00,5.10,0,62.51
327,2,2025-12-07 16:10:00,completed,80.24,0.00,7.12,0,87.36
328,2,2025-12-19 17:50:00,completed,65.60,0.00,5.82,0,71.42
329,3,2026-05-26 17:05:00,completed,30.95,0.00,2.75,0,33.70
330,2,2025-11-28 11:35:00,completed,40.95,0.50,3.59,0,44.04
331,2,2026-07-26 20:45:00,completed,70.69,0.50,6.23,0,76.42
332,2,2026-01-27 08:20:00,completed,69.19,0.00,6.14,0,75.33
333,1,2025-11-03 19:35:00,completed,76.37,1.00,6.69,0,82.06
334,1,2026-05-27 16:05:00,completed,63.58,3.00,5.38,0,65.96
335,3,2026-04-20 09:35:00,completed,70.93,1.00,6.21,0,76.14
336,3,2026-04-25 09:25:00,completed,65.41,4.50,5.41,0,66.32
337,3,2026-02-10 18:10:00,completed,35.97,1.50,3.06,0,37.53
338,3,2026-01-07 14:20:00,completed,7.58,1.00,0.58,0,7.16
339,1,2026-03-19 14:50:00,completed,89.64,0.00,7.96,0,97.60
340,2,2025-11-06 08:00:00,completed,43.22,0.50,3.79,0,46.51
341,1,2026-04-19 11:55:00,completed,80.45,0.00,7.14,0,87.59
342,3,2026-02-06 15:20:00,completed,90.05,0.50,7.95,0,97.50
343,2,2026-04-02 16:15:00,completed,74.48,1.00,6.52,0,80.00
344,1,2026-02-23 09:05:00,completed,43.90,0.00,3.90,0,47.80
345,1,2026-06-29 09:50:00,completed,19.16,1.50,1.57,0,19.23
346,3,2026-01-09 12:10:00,completed,22.47,0.00,1.99,0,24.46
347,3,2026-07-06 10:45:00,completed,74.87,2.50,6.42,0,78.79
348,1,2026-01-06 13:30:00,completed,54.89,0.50,4.83,0,59.22
349,2,2026-05-23 18:10:00,completed,8.49,0.00,0.75,0,9.24
350,2,2026-06-30 13:30:00,completed,37.13,0.00,3.30,0,40.43
351,2,2026-07-04 16:30:00,completed,63.68,0.00,5.65,0,69.33
352,1,2026-04-27 19:55:00,completed,14.45,0.00,1.28,0,15.73
353,1,2025-12-11 08:30:00,completed,49.94,0.00,4.43,0,54.37
354,3,2026-07-10 16:15:00,completed,59.88,0.00,5.31,0,65.19
355,1,2026-07-03 18:55:00,completed,36.91,1.00,3.19,0,39.10
356,2,2026-02-20 08:25:00,completed,18.46,0.00,1.64,0,20.10
357,3,2026-02-14 09:35:00,completed,54.19,1.00,4.72,0,57.91
358,2,2025-11-18 13:25:00,completed,34.41,1.50,2.92,0,35.83
359,1,2026-05-18 10:35:00,completed,55.06,0.00,4.89,0,59.95
360,3,2025-11-23 16:30:00,completed,117.64,0.00,10.44,0,128.08
361,1,2026-04-09 14:50:00,completed,63.88,0.00,5.67,0,69.55
362,3,2026-02-20 10:55:00,completed,19.46,3.50,1.42,0,17.38
363,2,2026-03-07 18:45:00,completed,25.84,2.50,2.07,0,25.41
364,1,2026-04-17 11:20:00,completed,32.43,1.00,2.79,0,34.22
365,1,2026-03-08 16:55:00,completed,13.98,0.00,1.24,0,15.22
366,3,2026-04-21 20:45:00,completed,60.41,3.00,5.10,0,62.51
