expense_id,store_id,expense_date,expense_type,amount,description
50,3,2026-02-07,supplies,390.01,Cleaning and office supplies
51,3,2026-02-28,wages,8690.12,Calculated from completed synthetic staff shifts
52,1,2026-03-08,rent,7845.22,Monthly store rent
53,1,2026-03-03,utilities,847.37,"Electricity, water, and internet"
54,1,2026-03-08,supplies,188.17,Cleaning and office supplies
55,1,2026-03-31,wages,9545.06,Calculated from completed synthetic staff shifts
56,2,2026-03-05,rent,8279.43,Monthly store rent
57,2,2026-03-06,utilities,900.50,"Electricity, water, and internet"
58,2,2026-03-07,supplies,261.00,Cleaning and office supplies
59,2,2026-03-31,wages,9026.81,Calculated from completed synthetic staff shifts
60,3,2026-03-05,rent,7640.98,Monthly store rent
61,3,2026-03-03,utilities,1075.98,"Electricity, water, and internet"
62,3,2026-03-01,supplies,383.70,Cleaning and office supplies
63,3,2026-03-31,wages,10037.23,Calculated from completed synthetic staff shifts
64,3,2026-03-07,other,381.19,Synthetic other expense
65,1,2026-04-11,rent,6641.62,Monthly store rent
66,1,2026-04-01,utilities,701.45,"Electricity, water, and internet"
67,1,2026-04-04,supplies,222.45,Cleaning and office supplies
68,1,2026-04-30,wages,9263.08,Calculated from completed synthetic staff shifts
69,1,2026-04-14,marketing,715.28,Synthetic marketing expense
70,2,2026-04-11,rent,9381.45,Monthly store rent
71,2,2026-04-01,utilities,748.75,"Electricity, water, and internet"
72,2,2026-04-07,supplies,351.93,Cleaning and office supplies
73,2,2026-04-30,wages,7974.48,Calculated from completed synthetic staff shifts
74,3,2026-04-07,rent,6943.81,Monthly store rent
75,3,2026-04-05,utilities,999.04,"Electricity, water, and internet"
76,3,2026-04-09,supplies,209.69,Cleaning and office supplies
77,3,2026-04-30,wages,9796.99,Calculated from completed synthetic staff shifts
78,3,2026-04-26,marketing,924.90,Synthetic marketing expense
79,1,2026-05-04,rent,7200.44,Monthly store rent
80,1,2026-05-10,utilities,812.80,"Electricity, water, and internet"
81,1,2026-05-09,supplies,439.04,Cleaning and office supplies
82,1,2026-05-31,wages,8531.27,Calculated from completed synthetic staff shifts
83,2,2026-05-06,rent,6651.23,Monthly store rent
84,2,2026-05-05,utilities,737.27,"Electricity, water, and internet"
85,2,2026-05-05,supplies,236.80,Cleaning and office supplies
86,2,2026-05-31,wages,8258.42,Calculated from completed synthetic staff shifts
87,2,2026-05-26,maintenance,654.46,Synthetic maintenance expense
88,3,2026-05-08,rent,7692.08,Monthly store rent
89,3,2026-05-10,utilities,1306.04,"Electricity, water, and internet"
90,3,2026-05-05,supplies,369.05,Cleaning and office supplies
91,3,2026-05-31,wages,10880.80,Calculated from completed synthetic staff shifts
92,3,2026-05-11,marketing,368.16,Synthetic marketing expense
93,1,2026-06-05,rent,7979.14,Monthly store rent
94,1,2026-06-09,utilities,1105.41,"Electricity, water, and internet"
95,1,2026-06-04,supplies,435.63,Cleaning and office supplies
96,1,2026-06-30,wages,8834.89,Calculated from completed synthetic staff shifts
97,1,2026-06-14,marketing,860.61,Synthetic marketing expense
98,2,2026-06-04,rent,7030.82,Monthly store rent
99,2,2026-06-08,utilities,829.36,"Electricity, water, and internet"
100,2,2026-06-03,supplies,369.79,Cleaning and office supplies
101,2,2026-06-30,wages,8244.43,Calculated from completed synthetic staff shifts
102,2,2026-06-30,other,429.76,Synthetic other expense
103,3,2026-06-03,rent,8681.83,Monthly store rent
104,3,2026-06-09,utilities,846.18,"Electricity, water, and internet"
105,3,2026-06-04,supplies,213.15,Cleaning and office supplies
106,3,2026-06-30,wages,9303.50,Calculated from completed synthetic staff shifts
107,1,2026-07-06,rent,8631.27,Monthly store rent
108,1,2026-07-03,utilities,768.81,"Electricity, water, and internet"
109,1,2026-07-05,supplies,164.63,Cleaning and office supplies
110,1,2026-07-31,wages,9152.54,Calculated from completed synthetic staff shifts
111,2,2026-07-06,rent,9339.69,Monthly store rent
112,2,2026-07-07,utilities,730.72,"Electricity, water, and internet"
113,2,2026-07-08,supplies,277.90,Cleaning and office supplies
114,2,2026-07-31,wages,9072.12,Calculated from completed synthetic staff shifts
115,3,2026-07-10,rent,9215.78,Monthly store rent
116,3,2026-07-07,utilities,832.27,"Electricity, water, and internet"
117,3,2026-07-02,supplies,318.99,Cleaning and office supplies
118,3,2026-07-31,wages,10946.55,Calculated from completed synthetic staff shifts
119,3,2026-07-08,other,988.05,Synthetic other expense
