adjustment_id,store_id,product_id,adjustment_time,adjustment_type,quantity_delta,notes
36,1,41,2025-11-01 07:00:00,manual_count,130,Opening inventory based on first 10 days of complete-population demand
37,1,43,2025-11-01 07:00:00,manual_count,105,Opening inventory based on first 10 days of complete-population demand
38,1,44,2025-11-01 07:00:00,manual_count,92,Opening inventory based on first 10 days of complete-population demand
39,1,45,2025-11-01 07:00:00,manual_count,110,Opening inventory based on first 10 days of complete-population demand
40,1,46,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
41,1,47,2025-11-01 07:00:00,manual_count,136,Opening inventory based on first 10 days of complete-population demand
42,1,48,2025-11-01 07:00:00,manual_count,128,Opening inventory based on first 10 days of complete-population demand
43,2,1,2025-11-01 07:00:00,manual_count,98,Opening inventory based on first 10 days of complete-population demand
44,2,2,2025-11-01 07:00:00,manual_count,138,Opening inventory based on first 10 days of complete-population demand
45,2,3,2025-11-01 07:00:00,manual_count,116,Opening inventory based on first 10 days of complete-population demand
46,2,5,2025-11-01 07:00:00,manual_count,130,Opening inventory based on first 10 days of complete-population demand
47,2,7,2025-11-01 07:00:00,manual_count,87,Opening inventory based on first 10 days of complete-population demand
48,2,9,2025-11-01 07:00:00,manual_count,104,Opening inventory based on first 10 days of complete-population demand
49,2,10,2025-11-01 07:00:00,manual_count,132,Opening inventory based on first 10 days of complete-population demand
50,2,11,2025-11-01 07:00:00,manual_count,74,Opening inventory based on first 10 days of complete-population demand
51,2,13,2025-11-01 07:00:00,manual_count,113,Opening inventory based on first 10 days of complete-population demand
52,2,14,2025-11-01 07:00:00,manual_count,83,Opening inventory based on first 10 days of complete-population demand
53,2,15,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
54,2,16,2025-11-01 07:00:00,manual_count,92,Opening inventory based on first 10 days of complete-population demand
55,2,17,2025-11-01 07:00:00,manual_count,117,Opening inventory based on first 10 days of complete-population demand
56,2,18,2025-11-01 07:00:00,manual_count,53,Opening inventory based on first 10 days of complete-population demand
57,2,19,2025-11-01 07:00:00,manual_count,114,Opening inventory based on first 10 days of complete-population demand
58,2,20,2025-11-01 07:00:00,manual_count,120,Opening inventory based on first 10 days of complete-population demand
59,2,21,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
60,2,22,2025-11-01 07:00:00,manual_count,95,Opening inventory based on first 10 days of complete-population demand
61,2,23,2025-11-01 07:00:00,manual_count,108,Opening inventory based on first 10 days of complete-population demand
62,2,24,2025-11-01 07:00:00,manual_count,114,Opening inventory based on first 10 days of complete-population demand
63,2,25,2025-11-01 07:00:00,manual_count,68,Opening inventory based on first 10 days of complete-population demand
64,2,26,2025-11-01 07:00:00,manual_count,120,Opening inventory based on first 10 days of complete-population demand
65,2,27,2025-11-01 07:00:00,manual_count,120,Opening inventory based on first 10 days of complete-population demand
66,2,28,2025-11-01 07:00:00,manual_count,136,Opening inventory based on first 10 days of complete-population demand
67,2,29,2025-11-01 07:00:00,manual_count,71,Opening inventory based on first 10 days of complete-population demand
68,2,30,2025-11-01 07:00:00,manual_count,116,Opening inventory based on first 10 days of complete-population demand
69,2,31,2025-11-01 07:00:00,manual_count,92,Opening inventory based on first 10 days of complete-population demand
70,2,32,2025-11-01 07:00:00,manual_count,106,Opening inventory based on first 10 days of complete-population demand
71,2,33,2025-11-01 07:00:00,manual_count,113,Opening inventory based on first 10 days of complete-population demand
72,2,34,2025-11-01 07:00:00,manual_count,119,Opening inventory based on first 10 days of complete-population demand
73,2,35,2025-11-01 07:00:00,manual_count,118,Opening inventory based on first 10 days of complete-population demand
74,2,36,2025-11-01 07:00:00,manual_count,95,Opening inventory based on first 10 days of complete-population demand
75,2,37,2025-11-01 07:00:00,manual_count,107,Opening inventory based on first 10 days of complete-population demand
76,2,39,2025-11-01 07:00:00,manual_count,89,Opening inventory based on first 10 days of complete-population demand
77,2,40,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
78,2,41,2025-11-01 07:00:00,manual_count,95,Opening inventory based on first 10 days of complete-population demand
79,2,43,2025-11-01 07:00:00,manual_count,80,Opening inventory based on first 10 days of complete-population demand
80,2,44,2025-11-01 07:00:00,manual_count,106,Opening inventory based on first 10 days of complete-population demand
81,2,45,2025-11-01 07:00:00,manual_count,98,Opening inventory based on first 10 days of complete-population demand
82,2,46,2025-11-01 07:00:00,manual_count,108,Opening inventory based on first 10 days of complete-population demand
83,2,47,2025-11-01 07:00:00,manual_count,111,Opening inventory based on first 10 days of complete-population demand
84,2,48,2025-11-01 07:00:00,manual_count,105,Opening inventory based on first 10 days of complete-population demand
85,3,1,2025-11-01 07:00:00,manual_count,94,Opening inventory based on first 10 days of complete-population demand
86,3,2,2025-11-01 07:00:00,manual_count,125,Opening inventory based on first 10 days of complete-population demand
87,3,3,2025-11-01 07:00:00,manual_count,123,Opening inventory based on first 10 days of complete-population demand
88,3,5,2025-11-01 07:00:00,manual_count,107,Opening inventory based on first 10 days of complete-population demand
89,3,7,2025-11-01 07:00:00,manual_count,104,Opening inventory based on first 10 days of complete-population demand
90,3,9,2025-11-01 07:00:00,manual_count,83,Opening inventory based on first 10 days of complete-population demand
91,3,10,2025-11-01 07:00:00,manual_count,94,Opening inventory based on first 10 days of complete-population demand
92,3,11,2025-11-01 07:00:00,manual_count,102,Opening inventory based on first 10 days of complete-population demand
93,3,13,2025-11-01 07:00:00,manual_count,122,Opening inventory based on first 10 days of complete-population demand
94,3,14,2025-11-01 07:00:00,manual_count,128,Opening inventory based on first 10 days of complete-population demand
95,3,15,2025-11-01 07:00:00,manual_count,125,Opening inventory based on first 10 days of complete-population demand
96,3,16,2025-11-01 07:00:00,manual_count,100,Opening inventory based on first 10 days of complete-population demand
97,3,17,2025-11-01 07:00:00,manual_count,130,Opening inventory based on first 10 days of complete-population demand
98,3,18,2025-11-01 07:00:00,manual_count,82,Opening inventory based on first 10 days of complete-population demand
99,3,19,2025-11-01 07:00:00,manual_count,120,Opening inventory based on first 10 days of complete-population demand
100,3,20,2025-11-01 07:00:00,manual_count,98,Opening inventory based on first 10 days of complete-population demand
101,3,21,2025-11-01 07:00:00,manual_count,131,Opening inventory based on first 10 days of complete-population demand
102,3,22,2025-11-01 07:00:00,manual_count,77,Opening inventory based on first 10 days of complete-population demand
103,3,23,2025-11-01 07:00:00,manual_count,129,Opening inventory based on first 10 days of complete-population demand
104,3,24,2025-11-01 07:00:00,manual_count,87,Opening inventory based on first 10 days of complete-population demand
105,3,25,2025-11-01 07:00:00,manual_count,67,Opening inventory based on first 10 days of complete-population demand
106,3,26,2025-11-01 07:00:00,manual_count,101,Opening inventory based on first 10 days of complete-population demand
107,3,27,2025-11-01 07:00:00,manual_count,81,Opening inventory based on first 10 days of complete-population demand
108,3,28,2025-11-01 07:00:00,manual_count,106,Opening inventory based on first 10 days of complete-population demand
109,3,29,2025-11-01 07:00:00,manual_count,98,Opening inventory based on first 10 days of complete-population demand
110,3,30,2025-11-01 07:00:00,manual_count,100,Opening inventory based on first 10 days of complete-population demand
111,3,31,2025-11-01 07:00:00,manual_count,106,Opening inventory based on first 10 days of complete-population demand
112,3,32,2025-11-01 07:00:00,manual_count,117,Opening inventory based on first 10 days of complete-population demand
113,3,33,2025-11-01 07:00:00,manual_count,111,Opening inventory based on first 10 days of complete-population demand
114,3,34,2025-11-01 07:00:00,manual_count,129,Opening inventory based on first 10 days of complete-population demand
115,3,35,2025-11-01 07:00:00,manual_count,88,Opening inventory based on first 10 days of complete-population demand
116,3,36,2025-11-01 07:00:00,manual_count,82,Opening inventory based on first 10 days of complete-population demand
117,3,37,2025-11-01 07:00:00,manual_count,69,Opening inventory based on first 10 days of complete-population demand
118,3,39,2025-11-01 07:00:00,manual_count,75,Opening inventory based on first 10 days of complete-population demand
119,3,40,2025-11-01 07:00:00,manual_count,98,Opening inventory based on first 10 days of complete-population demand
120,3,41,2025-11-01 07:00:00,manual_count,92,Opening inventory based on first 10 days of complete-population demand
121,3,43,2025-11-01 07:00:00,manual_count,105,Opening inventory based on first 10 days of complete-population demand
122,3,44,2025-11-01 07:00:00,manual_count,71,Opening inventory based on first 10 days of complete-population demand
123,3,45,2025-11-01 07:00:00,manual_count,119,Opening inventory based on first 10 days of complete-population demand
124,3,46,2025-11-01 07:00:00,manual_count,92,Opening inventory based on first 10 days of complete-population demand
125,3,47,2025-11-01 07:00:00,manual_count,83,Opening inventory based on first 10 days of complete-population demand
126,3,48,2025-11-01 07:00:00,manual_count,116,Opening inventory based on first 10 days of complete-population demand
127,1,3,2025-11-07 07:30:00,delivery,20,Inventory received for purchase order 1
128,1,9,2025-11-07 07:30:00,delivery,30,Inventory received for purchase order 1
129,1,15,2025-11-07 07:30:00,delivery,48,Inventory received for purchase order 1
130,1,20,2025-11-07 07:30:00,delivery,36,Inventory received for purchase order 1
131,1,21,2025-11-07 07:30:00,delivery,8,Inventory received for purchase order 1
132,1,2,2025-11-06 07:30:00,delivery,20,Inventory received for purchase order 2
133,1,24,2025-11-06 07:30:00,delivery,30,Inventory received for purchase order 2
134,1,37,2025-11-06 07:30:00,delivery,24,Inventory received for purchase order 2
135,1,48,2025-11-06 07:30:00,delivery,24,Inventory received for purchase order 2
136,1,25,2025-11-07 07:30:00,delivery,24,Inventory received for purchase order 3
137,1,30,2025-11-07 07:30:00,delivery,36,Inventory received for purchase order 3
138,1,36,2025-11-07 07:30:00,delivery,20,Inventory received for purchase order 3
139,1,34,2025-11-07 07:30:00,delivery,20,Inventory received for purchase order 4
140,1,43,2025-11-07 07:30:00,delivery,30,Inventory received for purchase order 4
141,1,46,2025-11-07 07:30:00,delivery,24,Inventory received for purchase order 4
142,1,13,2025-11-07 07:30:00,delivery,40,Inventory received for purchase order 5
143,1,28,2025-11-07 07:30:00,delivery,40,Inventory received for purchase order 5
144,1,35,2025-11-07 07:30:00,delivery,40,Inventory received for purchase order 5
145,1,44,2025-11-07 07:30:00,delivery,36,Inventory received for purchase order 5
146,1,16,2025-11-09 07:30:00,delivery,40,Inventory received for purchase order 6
147,1,26,2025-11-09 07:30:00,delivery,10,Inventory received for purchase order 6
148,1,11,2025-11-06 07:30:00,delivery,24,Inventory received for purchase order 7
149,1,33,2025-11-06 07:30:00,delivery,24,Inventory received for purchase order 7
150,1,39,2025-11-04 07:30:00,delivery,30,Inventory received for purchase order 8
151,1,10,2025-11-08 07:30:00,delivery,24,Inventory received for purchase order 9
152,1,31,2025-11-08 07:30:00,delivery,24,Inventory received for purchase order 9
153,1,32,2025-11-08 07:30:00,delivery,20,Inventory received for purchase order 9
154,1,47,2025-11-08 07:30:00,delivery,16,Inventory received for purchase order 9
155,1,3,2025-11-08 07:30:00,delivery,80,Inventory received for purchase order 10
156,1,9,2025-11-08 07:30:00,delivery,70,Inventory received for purchase order 10
157,1,11,2025-11-08 07:30:00,delivery,80,Inventory received for purchase order 10
158,1,15,2025-11-08 07:30:00,delivery,96,Inventory received for purchase order 10
159,1,21,2025-11-08 07:30:00,delivery,48,Inventory received for purchase order 10
160,1,10,2025-11-09 07:30:00,delivery,64,Inventory received for purchase order 11
161,1,14,2025-11-09 07:30:00,delivery,72,Inventory received for purchase order 11
162,1,26,2025-11-09 07:30:00,delivery,60,Inventory received for purchase order 11
163,1,37,2025-11-09 07:30:00,delivery,55,Inventory received for purchase order 11
164,1,41,2025-11-09 07:30:00,delivery,84,Inventory received for purchase order 11
165,1,7,2025-11-10 07:30:00,delivery,72,Inventory received for purchase order 12
166,1,25,2025-11-10 07:30:00,delivery,60,Inventory received for purchase order 12
167,1,29,2025-11-10 07:30:00,delivery,96,Inventory received for purchase order 12
168,1,30,2025-11-10 07:30:00,delivery,36,Inventory received for purchase order 12
169,1,36,2025-11-10 07:30:00,delivery,60,Inventory received for purchase order 12
170,1,16,2025-11-07 07:30:00,delivery,48,Inventory received for purchase order 13
171,1,18,2025-11-07 07:30:00,delivery,90,Inventory received for purchase order 13
172,1,22,2025-11-07 07:30:00,delivery,66,Inventory received for purchase order 13
173,1,43,2025-11-07 07:30:00,delivery,60,Inventory received for purchase order 13
174,1,2,2025-11-08 07:30:00,delivery,48,Inventory received for purchase order 14
175,1,19,2025-11-08 07:30:00,delivery,72,Inventory received for purchase order 14
176,1,20,2025-11-08 07:30:00,delivery,30,Inventory received for purchase order 14
177,1,27,2025-11-08 07:30:00,delivery,54,Inventory received for purchase order 14
178,1,34,2025-11-08 07:30:00,delivery,60,Inventory received for purchase order 14
179,1,24,2025-11-08 07:30:00,delivery,72,Inventory received for purchase order 15
180,1,28,2025-11-08 07:30:00,delivery,48,Inventory received for purchase order 15
181,1,40,2025-11-08 07:30:00,delivery,72,Inventory received for purchase order 15
182,1,17,2025-11-08 07:30:00,delivery,120,Inventory received for purchase order 16
183,1,32,2025-11-08 07:30:00,delivery,66,Inventory received for purchase order 16
184,1,33,2025-11-08 07:30:00,delivery,78,Inventory received for purchase order 16
185,1,5,2025-11-09 07:30:00,delivery,105,Inventory received for purchase order 17
186,1,13,2025-11-09 07:30:00,delivery,35,Inventory received for purchase order 17
187,1,23,2025-11-09 07:30:00,delivery,85,Inventory received for purchase order 17
188,1,35,2025-11-09 07:30:00,delivery,46,Inventory received for purchase order 17
189,1,45,2025-11-09 07:30:00,delivery,57,Inventory received for purchase order 17
190,1,48,2025-11-09 07:30:00,delivery,57,Inventory received for purchase order 17
191,1,1,2025-11-10 07:30:00,delivery,72,Inventory received for purchase order 18
192,1,31,2025-11-10 07:30:00,delivery,72,Inventory received for purchase order 18
193,1,39,2025-11-10 07:30:00,delivery,60,Inventory received for purchase order 18
194,1,44,2025-11-10 07:30:00,delivery,50,Inventory received for purchase order 18
195,1,46,2025-11-10 07:30:00,delivery,72,Inventory received for purchase order 18
196,1,47,2025-11-10 07:30:00,delivery,80,Inventory received for purchase order 18
197,1,3,2025-11-14 07:30:00,delivery,80,Inventory received for purchase order 19
198,1,9,2025-11-14 07:30:00,delivery,60,Inventory received for purchase order 19
199,1,15,2025-11-14 07:30:00,delivery,48,Inventory received for purchase order 19
200,1,20,2025-11-14 07:30:00,delivery,71,Inventory received for purchase order 19
201,1,21,2025-11-14 07:30:00,delivery,88,Inventory received for purchase order 19
202,1,2,2025-11-15 07:30:00,delivery,60,Inventory received for purchase order 20
203,1,7,2025-11-15 07:30:00,delivery,32,Inventory received for purchase order 20
204,1,14,2025-11-15 07:30:00,delivery,72,Inventory received for purchase order 20
205,1,22,2025-11-15 07:30:00,delivery,54,Inventory received for purchase order 20
206,1,24,2025-11-15 07:30:00,delivery,50,Inventory received for purchase order 20
207,1,27,2025-11-15 07:30:00,delivery,36,Inventory received for purchase order 20
208,1,48,2025-11-15 07:30:00,delivery,72,Inventory received for purchase order 21
209,1,25,2025-11-15 07:30:00,delivery,84,Inventory received for purchase order 22
210,1,26,2025-11-15 07:30:00,delivery,36,Inventory received for purchase order 22
211,1,30,2025-11-15 07:30:00,delivery,72,Inventory received for purchase order 22
212,1,34,2025-11-16 07:30:00,delivery,60,Inventory received for purchase order 23
213,1,44,2025-11-16 07:30:00,delivery,48,Inventory received for purchase order 23
214,1,46,2025-11-16 07:30:00,delivery,48,Inventory received for purchase order 23
215,1,13,2025-11-17 07:30:00,delivery,60,Inventory received for purchase order 24
216,1,28,2025-11-17 07:30:00,delivery,72,Inventory received for purchase order 24
217,1,35,2025-11-17 07:30:00,delivery,40,Inventory received for purchase order 24
218,1,16,2025-11-14 07:30:00,delivery,80,Inventory received for purchase order 25
219,1,29,2025-11-14 07:30:00,delivery,40,Inventory received for purchase order 25
220,1,36,2025-11-14 07:30:00,delivery,56,Inventory received for purchase order 25
221,1,43,2025-11-14 07:30:00,delivery,96,Inventory received for purchase order 25
222,1,45,2025-11-14 07:30:00,delivery,64,Inventory received for purchase order 25
223,1,11,2025-11-15 07:30:00,delivery,42,Inventory received for purchase order 26
224,1,17,2025-11-15 07:30:00,delivery,48,Inventory received for purchase order 26
225,1,32,2025-11-15 07:30:00,delivery,84,Inventory received for purchase order 26
226,1,33,2025-11-15 07:30:00,delivery,48,Inventory received for purchase order 26
227,1,18,2025-11-15 07:30:00,delivery,72,Inventory received for purchase order 27
228,1,23,2025-11-15 07:30:00,delivery,48,Inventory received for purchase order 27
229,1,37,2025-11-15 07:30:00,delivery,36,Inventory received for purchase order 27
230,1,1,2025-11-15 07:30:00,delivery,72,Inventory received for purchase order 28
231,1,5,2025-11-15 07:30:00,delivery,24,Inventory received for purchase order 28
232,1,10,2025-11-15 07:30:00,delivery,96,Inventory received for purchase order 28
233,1,19,2025-11-15 07:30:00,delivery,70,Inventory received for purchase order 28
234,1,31,2025-11-15 07:30:00,delivery,48,Inventory received for purchase order 28
235,1,39,2025-11-15 07:30:00,delivery,40,Inventory received for purchase order 28
236,1,40,2025-11-16 07:30:00,delivery,48,Inventory received for purchase order 29
237,1,41,2025-11-16 07:30:00,delivery,79,Inventory received for purchase order 29
238,1,47,2025-11-16 07:30:00,delivery,48,Inventory received for purchase order 29
239,1,3,2025-11-24 07:30:00,delivery,60,Inventory received for purchase order 30
240,1,9,2025-11-24 07:30:00,delivery,70,Inventory received for purchase order 30
241,1,11,2025-11-24 07:30:00,delivery,60,Inventory received for purchase order 30
242,1,15,2025-11-24 07:30:00,delivery,48,Inventory received for purchase order 30
243,1,20,2025-11-24 07:30:00,delivery,36,Inventory received for purchase order 30
244,1,10,2025-11-21 07:30:00,delivery,48,Inventory received for purchase order 31
245,1,14,2025-11-21 07:30:00,delivery,72,Inventory received for purchase order 31
246,1,26,2025-11-21 07:30:00,delivery,72,Inventory received for purchase order 31
247,1,37,2025-11-21 07:30:00,delivery,72,Inventory received for purchase order 31
248,1,41,2025-11-21 07:30:00,delivery,78,Inventory received for purchase order 31
249,1,7,2025-11-22 07:30:00,delivery,72,Inventory received for purchase order 32
250,1,25,2025-11-22 07:30:00,delivery,72,Inventory received for purchase order 32
251,1,29,2025-11-22 07:30:00,delivery,96,Inventory received for purchase order 32
252,1,30,2025-11-22 07:30:00,delivery,36,Inventory received for purchase order 32
253,1,36,2025-11-22 07:30:00,delivery,90,Inventory received for purchase order 32
254,1,16,2025-11-22 07:30:00,delivery,36,Inventory received for purchase order 33
255,1,18,2025-11-22 07:30:00,delivery,72,Inventory received for purchase order 33
256,1,22,2025-11-22 07:30:00,delivery,84,Inventory received for purchase order 33
257,1,43,2025-11-22 07:30:00,delivery,70,Inventory received for purchase order 33
258,1,19,2025-11-22 07:30:00,delivery,69,Inventory received for purchase order 34
259,1,27,2025-11-22 07:30:00,delivery,93,Inventory received for purchase order 34
260,1,34,2025-11-22 07:30:00,delivery,57,Inventory received for purchase order 34
261,1,47,2025-11-22 07:30:00,delivery,77,Inventory received for purchase order 34
262,1,24,2025-11-23 07:30:00,delivery,48,Inventory received for purchase order 35
263,1,28,2025-11-23 07:30:00,delivery,48,Inventory received for purchase order 35
264,1,40,2025-11-23 07:30:00,delivery,24,Inventory received for purchase order 35
265,1,17,2025-11-24 07:30:00,delivery,48,Inventory received for purchase order 36
266,1,32,2025-11-24 07:30:00,delivery,48,Inventory received for purchase order 36
267,1,33,2025-11-24 07:30:00,delivery,72,Inventory received for purchase order 36
268,1,2,2025-11-21 07:30:00,delivery,80,Inventory received for purchase order 37
269,1,5,2025-11-21 07:30:00,delivery,72,Inventory received for purchase order 37
270,1,13,2025-11-21 07:30:00,delivery,72,Inventory received for purchase order 37
271,1,21,2025-11-21 07:30:00,delivery,96,Inventory received for purchase order 37
272,1,23,2025-11-21 07:30:00,delivery,56,Inventory received for purchase order 37
273,1,31,2025-11-21 07:30:00,delivery,48,Inventory received for purchase order 37
274,1,35,2025-11-22 07:30:00,delivery,95,Inventory received for purchase order 38
275,1,39,2025-11-22 07:30:00,delivery,90,Inventory received for purchase order 38
276,1,45,2025-11-22 07:30:00,delivery,96,Inventory received for purchase order 38
277,1,48,2025-11-22 07:30:00,delivery,70,Inventory received for purchase order 38
278,1,1,2025-11-22 07:30:00,delivery,72,Inventory received for purchase order 39
279,1,44,2025-11-22 07:30:00,delivery,60,Inventory received for purchase order 39
280,1,46,2025-11-22 07:30:00,delivery,72,Inventory received for purchase order 39
281,1,3,2025-11-29 07:30:00,delivery,80,Inventory received for purchase order 40
282,1,9,2025-11-29 07:30:00,delivery,60,Inventory received for purchase order 40
283,1,15,2025-11-29 07:30:00,delivery,48,Inventory received for purchase order 40
284,1,20,2025-11-29 07:30:00,delivery,72,Inventory received for purchase order 40
285,1,21,2025-11-29 07:30:00,delivery,56,Inventory received for purchase order 40
286,1,7,2025-11-30 07:30:00,delivery,56,Inventory received for purchase order 41
287,1,14,2025-11-30 07:30:00,delivery,48,Inventory received for purchase order 41
288,1,22,2025-11-30 07:30:00,delivery,54,Inventory received for purchase order 41
289,1,27,2025-11-30 07:30:00,delivery,72,Inventory received for purchase order 41
290,1,48,2025-11-30 07:30:00,delivery,72,Inventory received for purchase order 41
291,1,25,2025-12-01 07:30:00,delivery,48,Inventory received for purchase order 42
292,1,26,2025-12-01 07:30:00,delivery,108,Inventory received for purchase order 42
293,1,30,2025-12-01 07:30:00,delivery,36,Inventory received for purchase order 42
294,1,34,2025-11-28 07:30:00,delivery,60,Inventory received for purchase order 43
295,1,44,2025-11-28 07:30:00,delivery,96,Inventory received for purchase order 43
296,1,46,2025-11-28 07:30:00,delivery,96,Inventory received for purchase order 43
297,1,13,2025-11-29 07:30:00,delivery,20,Inventory received for purchase order 44
298,1,28,2025-11-29 07:30:00,delivery,88,Inventory received for purchase order 44
299,1,35,2025-11-29 07:30:00,delivery,40,Inventory received for purchase order 44
300,1,47,2025-11-29 07:30:00,delivery,40,Inventory received for purchase order 44
301,1,16,2025-11-29 07:30:00,delivery,80,Inventory received for purchase order 45
302,1,24,2025-11-29 07:30:00,delivery,72,Inventory received for purchase order 45
303,1,29,2025-11-29 07:30:00,delivery,40,Inventory received for purchase order 45
304,1,36,2025-11-29 07:30:00,delivery,56,Inventory received for purchase order 45
305,1,43,2025-11-29 07:30:00,delivery,72,Inventory received for purchase order 45
306,1,45,2025-11-29 07:30:00,delivery,40,Inventory received for purchase order 45
307,1,11,2025-11-29 07:30:00,delivery,78,Inventory received for purchase order 46
308,1,17,2025-11-29 07:30:00,delivery,72,Inventory received for purchase order 46
309,1,32,2025-11-29 07:30:00,delivery,78,Inventory received for purchase order 46
310,1,33,2025-11-29 07:30:00,delivery,54,Inventory received for purchase order 46
311,1,2,2025-11-30 07:30:00,delivery,99,Inventory received for purchase order 47
312,1,18,2025-11-30 07:30:00,delivery,48,Inventory received for purchase order 47
313,1,23,2025-11-30 07:30:00,delivery,80,Inventory received for purchase order 47
314,1,37,2025-11-30 07:30:00,delivery,72,Inventory received for purchase order 47
315,1,1,2025-12-01 07:30:00,delivery,72,Inventory received for purchase order 48
316,1,5,2025-12-01 07:30:00,delivery,48,Inventory received for purchase order 48
317,1,10,2025-12-01 07:30:00,delivery,72,Inventory received for purchase order 48
318,1,19,2025-12-01 07:30:00,delivery,50,Inventory received for purchase order 48
319,1,31,2025-12-01 07:30:00,delivery,96,Inventory received for purchase order 48
320,1,39,2025-12-01 07:30:00,delivery,60,Inventory received for purchase order 48
321,1,40,2025-11-28 07:30:00,delivery,72,Inventory received for purchase order 49
322,1,41,2025-11-28 07:30:00,delivery,88,Inventory received for purchase order 49
323,1,3,2025-12-06 07:30:00,delivery,80,Inventory received for purchase order 50
324,1,9,2025-12-06 07:30:00,delivery,60,Inventory received for purchase order 50
325,1,11,2025-12-06 07:30:00,delivery,60,Inventory received for purchase order 50
326,1,10,2025-12-06 07:30:00,delivery,31,Inventory received for purchase order 51
327,1,14,2025-12-06 07:30:00,delivery,46,Inventory received for purchase order 51
328,1,24,2025-12-06 07:30:00,delivery,38,Inventory received for purchase order 51
329,1,26,2025-12-06 07:30:00,delivery,40,Inventory received for purchase order 51
330,1,37,2025-12-06 07:30:00,delivery,69,Inventory received for purchase order 51
331,1,41,2025-12-06 07:30:00,delivery,40,Inventory received for purchase order 51
332,1,7,2025-12-06 07:30:00,delivery,72,Inventory received for purchase order 52
333,1,25,2025-12-06 07:30:00,delivery,60,Inventory received for purchase order 52
334,1,29,2025-12-06 07:30:00,delivery,96,Inventory received for purchase order 52
335,1,30,2025-12-06 07:30:00,delivery,72,Inventory received for purchase order 52
336,1,36,2025-12-06 07:30:00,delivery,80,Inventory received for purchase order 52
