delivery_id,purchase_order_id,delivery_date,delivery_status,notes
134,134,2026-01-31,received,Demand-driven synthetic replenishment delivery
135,135,2026-01-31,received,Demand-driven synthetic replenishment delivery
136,136,2026-01-31,partial,Demand-driven synthetic replenishment delivery
137,137,2026-02-01,received,Demand-driven synthetic replenishment delivery
138,138,2026-02-02,received,Demand-driven synthetic replenishment delivery
139,139,2026-01-30,received,Demand-driven synthetic replenishment delivery
140,140,2026-01-31,received,Demand-driven synthetic replenishment delivery
141,141,2026-01-31,received,Demand-driven synthetic replenishment delivery
142,142,2026-02-07,received,Demand-driven synthetic replenishment delivery
143,143,2026-02-08,received,Demand-driven synthetic replenishment delivery
144,144,2026-02-09,received,Demand-driven synthetic replenishment delivery
145,145,2026-02-06,received,Demand-driven synthetic replenishment delivery
146,146,2026-02-07,received,Demand-driven synthetic replenishment delivery
147,147,2026-02-07,received,Demand-driven synthetic replenishment delivery
148,148,2026-02-07,received,Demand-driven synthetic replenishment delivery
149,149,2026-02-08,received,Demand-driven synthetic replenishment delivery
150,150,2026-02-09,received,Demand-driven synthetic replenishment delivery
151,151,2026-02-06,received,Demand-driven synthetic replenishment delivery
152,152,2026-02-07,received,Demand-driven synthetic replenishment delivery
153,153,2026-02-14,partial,Demand-driven synthetic replenishment delivery
154,154,2026-02-14,received,Demand-driven synthetic replenishment delivery
155,155,2026-02-15,received,Demand-driven synthetic replenishment delivery
156,156,2026-02-16,received,Demand-driven synthetic replenishment delivery
157,157,2026-02-13,received,Demand-driven synthetic replenishment delivery
158,158,2026-02-14,received,Demand-driven synthetic replenishment delivery
159,159,2026-02-14,received,Demand-driven synthetic replenishment delivery
160,160,2026-02-14,received,Demand-driven synthetic replenishment delivery
161,161,2026-02-15,received,Demand-driven synthetic replenishment delivery
162,162,2026-02-16,received,Demand-driven synthetic replenishment delivery
163,163,2026-02-20,received,Demand-driven synthetic replenishment delivery
164,164,2026-02-21,received,Demand-driven synthetic replenishment delivery
165,165,2026-02-21,received,Demand-driven synthetic replenishment delivery
166,166,2026-02-21,received,Demand-driven synthetic replenishment delivery
167,167,2026-02-22,received,Demand-driven synthetic replenishment delivery
168,168,2026-02-23,received,Demand-driven synthetic replenishment delivery
169,169,2026-02-20,received,Demand-driven synthetic replenishment delivery
170,170,2026-02-21,partial,Demand-driven synthetic replenishment delivery
171,171,2026-02-21,received,Demand-driven synthetic replenishment delivery
172,172,2026-02-21,received,Demand-driven synthetic replenishment delivery
173,173,2026-03-01,received,Demand-driven synthetic replenishment delivery
174,174,2026-03-02,received,Demand-driven synthetic replenishment delivery
175,175,2026-02-27,received,Demand-driven synthetic replenishment delivery
176,176,2026-02-28,received,Demand-driven synthetic replenishment delivery
177,177,2026-02-28,received,Demand-driven synthetic replenishment delivery
178,178,2026-02-28,received,Demand-driven synthetic replenishment delivery
179,179,2026-03-01,received,Demand-driven synthetic replenishment delivery
180,180,2026-03-02,received,Demand-driven synthetic replenishment delivery
181,181,2026-02-27,received,Demand-driven synthetic replenishment delivery
182,182,2026-02-28,received,Demand-driven synthetic replenishment delivery
183,183,2026-03-07,received,Demand-driven synthetic replenishment delivery
184,184,2026-03-07,received,Demand-driven synthetic replenishment delivery
185,185,2026-03-08,received,Demand-driven synthetic replenishment delivery
186,186,2026-03-09,received,Demand-driven synthetic replenishment delivery
187,187,2026-03-06,partial,Demand-driven synthetic replenishment delivery
188,188,2026-03-07,received,Demand-driven synthetic replenishment delivery
189,189,2026-03-07,received,Demand-driven synthetic replenishment delivery
190,190,2026-03-07,received,Demand-driven synthetic replenishment delivery
191,191,2026-03-08,received,Demand-driven synthetic replenishment delivery
192,192,2026-03-09,received,Demand-driven synthetic replenishment delivery
193,193,2026-03-13,received,Demand-driven synthetic replenishment delivery
194,194,2026-03-14,received,Demand-driven synthetic replenishment delivery
195,195,2026-03-14,received,Demand-driven synthetic replenishment delivery
196,196,2026-03-14,received,Demand-driven synthetic replenishment delivery
197,197,2026-03-15,received,Demand-driven synthetic replenishment delivery
198,198,2026-03-16,received,Demand-driven synthetic replenishment delivery
199,199,2026-03-13,received,Demand-driven synthetic replenishment delivery
200,200,2026-03-14,received,Demand-driven synthetic replenishment delivery
201,201,2026-03-14,received,Demand-driven synthetic replenishment delivery
202,202,2026-03-14,received,Demand-driven synthetic replenishment delivery
203,203,2026-03-15,received,Demand-driven synthetic replenishment delivery
204,204,2026-03-23,partial,Demand-driven synthetic replenishment delivery
205,205,2026-03-20,received,Demand-driven synthetic replenishment delivery
206,206,2026-03-21,received,Demand-driven synthetic replenishment delivery
207,207,2026-03-21,received,Demand-driven synthetic replenishment delivery
208,208,2026-03-21,received,Demand-driven synthetic replenishment delivery
209,209,2026-03-22,received,Demand-driven synthetic replenishment delivery
210,210,2026-03-23,received,Demand-driven synthetic replenishment delivery
211,211,2026-03-20,received,Demand-driven synthetic replenishment delivery
212,212,2026-03-21,received,Demand-driven synthetic replenishment delivery
213,213,2026-03-21,received,Demand-driven synthetic replenishment delivery
214,214,2026-03-21,received,Demand-driven synthetic replenishment delivery
215,215,2026-03-29,received,Demand-driven synthetic replenishment delivery
216,216,2026-03-30,received,Demand-driven synthetic replenishment delivery
217,217,2026-03-27,received,Demand-driven synthetic replenishment delivery
218,218,2026-03-28,received,Demand-driven synthetic replenishment delivery
219,219,2026-03-28,received,Demand-driven synthetic replenishment delivery
220,220,2026-03-28,received,Demand-driven synthetic replenishment delivery
221,221,2026-03-29,partial,Demand-driven synthetic replenishment delivery
222,222,2026-03-30,received,Demand-driven synthetic replenishment delivery
223,223,2026-03-27,received,Demand-driven synthetic replenishment delivery
224,224,2026-03-28,received,Demand-driven synthetic replenishment delivery
225,225,2026-03-28,received,Demand-driven synthetic replenishment delivery
226,226,2026-04-04,received,Demand-driven synthetic replenishment delivery
227,227,2026-04-05,received,Demand-driven synthetic replenishment delivery
228,228,2026-04-06,received,Demand-driven synthetic replenishment delivery
229,229,2026-04-03,received,Demand-driven synthetic replenishment delivery
230,230,2026-04-04,received,Demand-driven synthetic replenishment delivery
231,231,2026-04-04,received,Demand-driven synthetic replenishment delivery
232,232,2026-04-04,received,Demand-driven synthetic replenishment delivery
233,233,2026-04-05,received,Demand-driven synthetic replenishment delivery
234,234,2026-04-06,received,Demand-driven synthetic replenishment delivery
235,235,2026-04-03,received,Demand-driven synthetic replenishment delivery
236,236,2026-04-11,received,Demand-driven synthetic replenishment delivery
237,237,2026-04-11,received,Demand-driven synthetic replenishment delivery
238,238,2026-04-11,partial,Demand-driven synthetic replenishment delivery
239,239,2026-04-12,received,Demand-driven synthetic replenishment delivery
240,240,2026-04-13,received,Demand-driven synthetic replenishment delivery
241,241,2026-04-10,received,Demand-driven synthetic replenishment delivery
242,242,2026-04-11,received,Demand-driven synthetic replenishment delivery
243,243,2026-04-11,received,Demand-driven synthetic replenishment delivery
244,244,2026-04-11,received,Demand-driven synthetic replenishment delivery
245,245,2026-04-12,received,Demand-driven synthetic replenishment delivery
246,246,2026-04-20,received,Demand-driven synthetic replenishment delivery
247,247,2026-04-17,received,Demand-driven synthetic replenishment delivery
248,248,2026-04-18,received,Demand-driven synthetic replenishment delivery
249,249,2026-04-18,received,Demand-driven synthetic replenishment delivery
250,250,2026-04-18,received,Demand-driven synthetic replenishment delivery
251,251,2026-04-19,received,Demand-driven synthetic replenishment delivery
252,252,2026-04-20,received,Demand-driven synthetic replenishment delivery
253,253,2026-04-17,received,Demand-driven synthetic replenishment delivery
254,254,2026-04-18,received,Demand-driven synthetic replenishment delivery
255,255,2026-04-18,partial,Demand-driven synthetic replenishment delivery
256,256,2026-04-18,received,Demand-driven synthetic replenishment delivery
257,257,2026-04-26,received,Demand-driven synthetic replenishment delivery
258,258,2026-04-27,received,Demand-driven synthetic replenishment delivery
259,259,2026-04-24,received,Demand-driven synthetic replenishment delivery
260,260,2026-04-25,received,Demand-driven synthetic replenishment delivery
261,261,2026-04-25,received,Demand-driven synthetic replenishment delivery
262,262,2026-04-25,received,Demand-driven synthetic replenishment delivery
263,263,2026-04-26,received,Demand-driven synthetic replenishment delivery
264,264,2026-04-27,received,Demand-driven synthetic replenishment delivery
265,265,2026-04-24,received,Demand-driven synthetic replenishment delivery
266,266,2026-04-25,received,Demand-driven synthetic replenishment delivery
267,267,2026-05-02,received,Demand-driven synthetic replenishment delivery
268,268,2026-05-02,received,Demand-driven synthetic replenishment delivery
269,269,2026-05-03,received,Demand-driven synthetic replenishment delivery
270,270,2026-05-04,received,Demand-driven synthetic replenishment delivery
271,271,2026-05-01,received,Demand-driven synthetic replenishment delivery
272,272,2026-05-02,partial,Demand-driven synthetic replenishment delivery
273,273,2026-05-02,received,Demand-driven synthetic replenishment delivery
274,274,2026-05-02,received,Demand-driven synthetic replenishment delivery
275,275,2026-05-03,received,Demand-driven synthetic replenishment delivery
276,276,2026-05-04,received,Demand-driven synthetic replenishment delivery
277,277,2026-05-08,received,Demand-driven synthetic replenishment delivery
278,278,2026-05-09,received,Demand-driven synthetic replenishment delivery
279,279,2026-05-09,received,Demand-driven synthetic replenishment delivery
280,280,2026-05-09,received,Demand-driven synthetic replenishment delivery
281,281,2026-05-10,received,Demand-driven synthetic replenishment delivery
282,282,2026-05-11,received,Demand-driven synthetic replenishment delivery
283,283,2026-05-08,received,Demand-driven synthetic replenishment delivery
284,284,2026-05-09,received,Demand-driven synthetic replenishment delivery
285,285,2026-05-09,received,Demand-driven synthetic replenishment delivery
286,286,2026-05-09,received,Demand-driven synthetic replenishment delivery
287,287,2026-05-17,received,Demand-driven synthetic replenishment delivery
288,288,2026-05-18,received,Demand-driven synthetic replenishment delivery
289,289,2026-05-15,partial,Demand-driven synthetic replenishment delivery
290,290,2026-05-16,received,Demand-driven synthetic replenishment delivery
291,291,2026-05-16,received,Demand-driven synthetic replenishment delivery
292,292,2026-05-16,received,Demand-driven synthetic replenishment delivery
293,293,2026-05-17,received,Demand-driven synthetic replenishment delivery
294,294,2026-05-18,received,Demand-driven synthetic replenishment delivery
295,295,2026-05-15,received,Demand-driven synthetic replenishment delivery
296,296,2026-05-16,received,Demand-driven synthetic replenishment delivery
297,297,2026-05-23,received,Demand-driven synthetic replenishment delivery
298,298,2026-05-23,received,Demand-driven synthetic replenishment delivery
299,299,2026-05-24,received,Demand-driven synthetic replenishment delivery
300,300,2026-05-25,received,Demand-driven synthetic replenishment delivery
301,301,2026-05-22,received,Demand-driven synthetic replenishment delivery
302,302,2026-05-23,received,Demand-driven synthetic replenishment delivery
303,303,2026-05-23,received,Demand-driven synthetic replenishment delivery
304,304,2026-05-23,received,Demand-driven synthetic replenishment delivery
305,305,2026-05-24,received,Demand-driven synthetic replenishment delivery
306,306,2026-05-25,partial,Demand-driven synthetic replenishment delivery
307,307,2026-05-29,received,Demand-driven synthetic replenishment delivery
308,308,2026-05-30,received,Demand-driven synthetic replenishment delivery
309,309,2026-05-30,received,Demand-driven synthetic replenishment delivery
310,310,2026-05-30,received,Demand-driven synthetic replenishment delivery
311,311,2026-05-31,received,Demand-driven synthetic replenishment delivery
312,312,2026-06-01,received,Demand-driven synthetic replenishment delivery
313,313,2026-05-29,received,Demand-driven synthetic replenishment delivery
314,314,2026-05-30,received,Demand-driven synthetic replenishment delivery
315,315,2026-05-30,received,Demand-driven synthetic replenishment delivery
316,316,2026-05-30,received,Demand-driven synthetic replenishment delivery
317,317,2026-05-31,received,Demand-driven synthetic replenishment delivery
318,318,2026-06-08,received,Demand-driven synthetic replenishment delivery
319,319,2026-06-05,received,Demand-driven synthetic replenishment delivery
320,320,2026-06-06,received,Demand-driven synthetic replenishment delivery
321,321,2026-06-06,received,Demand-driven synthetic replenishment delivery
322,322,2026-06-06,received,Demand-driven synthetic replenishment delivery
323,323,2026-06-07,partial,Demand-driven synthetic replenishment delivery
324,324,2026-06-08,received,Demand-driven synthetic replenishment delivery
325,325,2026-06-05,received,Demand-driven synthetic replenishment delivery
326,326,2026-06-06,received,Demand-driven synthetic replenishment delivery
327,327,2026-06-06,received,Demand-driven synthetic replenishment delivery
328,328,2026-06-06,received,Demand-driven synthetic replenishment delivery
329,329,2026-06-14,received,Demand-driven synthetic replenishment delivery
330,330,2026-06-15,received,Demand-driven synthetic replenishment delivery
331,331,2026-06-12,received,Demand-driven synthetic replenishment delivery
332,332,2026-06-13,received,Demand-driven synthetic replenishment delivery
333,333,2026-06-13,received,Demand-driven synthetic replenishment delivery
334,334,2026-06-13,received,Demand-driven synthetic replenishment delivery
335,335,2026-06-14,received,Demand-driven synthetic replenishment delivery
336,336,2026-06-15,received,Demand-driven synthetic replenishment delivery
337,337,2026-06-12,received,Demand-driven synthetic replenishment delivery
338,338,2026-06-13,received,Demand-driven synthetic replenishment delivery
339,339,2026-06-13,received,Demand-driven synthetic replenishment delivery
340,340,2026-06-20,partial,Demand-driven synthetic replenishment delivery
341,341,2026-06-21,received,Demand-driven synthetic replenishment delivery
342,342,2026-06-22,received,Demand-driven synthetic replenishment delivery
343,343,2026-06-19,received,Demand-driven synthetic replenishment delivery
344,344,2026-06-20,received,Demand-driven synthetic replenishment delivery
345,345,2026-06-20,received,Demand-driven synthetic replenishment delivery
346,346,2026-06-20,received,Demand-driven synthetic replenishment delivery
347,347,2026-06-21,received,Demand-driven synthetic replenishment delivery
348,348,2026-06-22,received,Demand-driven synthetic replenishment delivery
349,349,2026-06-19,received,Demand-driven synthetic replenishment delivery
350,350,2026-06-27,received,Demand-driven synthetic replenishment delivery
351,351,2026-06-27,received,Demand-driven synthetic replenishment delivery
352,352,2026-06-27,received,Demand-driven synthetic replenishment delivery
353,353,2026-06-28,received,Demand-driven synthetic replenishment delivery
354,354,2026-06-29,received,Demand-driven synthetic replenishment delivery
355,355,2026-06-26,received,Demand-driven synthetic replenishment delivery
356,356,2026-06-27,received,Demand-driven synthetic replenishment delivery
357,357,2026-06-27,partial,Demand-driven synthetic replenishment delivery
358,358,2026-06-27,received,Demand-driven synthetic replenishment delivery
359,359,2026-07-05,received,Demand-driven synthetic replenishment delivery
360,360,2026-07-06,received,Demand-driven synthetic replenishment delivery
361,361,2026-07-03,received,Demand-driven synthetic replenishment delivery
362,362,2026-07-04,received,Demand-driven synthetic replenishment delivery
363,363,2026-07-04,received,Demand-driven synthetic replenishment delivery
364,364,2026-07-04,received,Demand-driven synthetic replenishment delivery
365,365,2026-07-05,received,Demand-driven synthetic replenishment delivery
366,366,2026-07-06,received,Demand-driven synthetic replenishment delivery
367,367,2026-07-03,received,Demand-driven synthetic replenishment delivery
368,368,2026-07-04,received,Demand-driven synthetic replenishment delivery
369,369,2026-07-04,received,Demand-driven synthetic replenishment delivery
370,370,2026-07-11,received,Demand-driven synthetic replenishment delivery
371,371,2026-07-12,received,Demand-driven synthetic replenishment delivery
372,372,2026-07-13,received,Demand-driven synthetic replenishment delivery
373,373,2026-07-10,received,Demand-driven synthetic replenishment delivery
374,374,2026-07-11,partial,Demand-driven synthetic replenishment delivery
375,375,2026-07-11,received,Demand-driven synthetic replenishment delivery
376,376,2026-07-11,received,Demand-driven synthetic replenishment delivery
377,377,2026-07-12,received,Demand-driven synthetic replenishment delivery
378,378,2026-07-13,received,Demand-driven synthetic replenishment delivery
379,379,2026-07-10,received,Demand-driven synthetic replenishment delivery
380,380,2026-07-18,received,Demand-driven synthetic replenishment delivery
381,381,2026-07-18,received,Demand-driven synthetic replenishment delivery
382,382,2026-07-18,received,Demand-driven synthetic replenishment delivery
383,383,2026-07-19,received,Demand-driven synthetic replenishment delivery
384,384,2026-07-20,received,Demand-driven synthetic replenishment delivery
385,385,2026-07-17,received,Demand-driven synthetic replenishment delivery
386,386,2026-07-18,received,Demand-driven synthetic replenishment delivery
387,387,2026-07-18,received,Demand-driven synthetic replenishment delivery
388,388,2026-07-18,received,Demand-driven synthetic replenishment delivery
389,389,2026-07-19,received,Demand-driven synthetic replenishment delivery
390,390,2026-07-20,received,Demand-driven synthetic replenishment delivery
391,391,2026-07-17,partial,Demand-driven synthetic replenishment delivery
392,392,2026-07-25,received,Demand-driven synthetic replenishment delivery
393,393,2026-07-25,received,Demand-driven synthetic replenishment delivery
394,394,2026-07-25,received,Demand-driven synthetic replenishment delivery
395,395,2026-07-26,received,Demand-driven synthetic replenishment delivery
396,396,2026-07-27,received,Demand-driven synthetic replenishment delivery
397,397,2026-07-24,received,Demand-driven synthetic replenishment delivery
398,398,2026-07-25,received,Demand-driven synthetic replenishment delivery
399,399,2026-07-25,received,Demand-driven synthetic replenishment delivery
400,400,2026-07-25,received,Demand-driven synthetic replenishment delivery
401,401,2026-07-26,received,Demand-driven synthetic replenishment delivery
402,402,2025-11-10,received,Demand-driven synthetic replenishment delivery
403,403,2025-11-04,received,Demand-driven synthetic replenishment delivery
404,404,2025-11-06,received,Demand-driven synthetic replenishment delivery
405,405,2025-11-05,received,Demand-driven synthetic replenishment delivery
406,406,2025-11-06,received,Demand-driven synthetic replenishment delivery
407,407,2025-11-09,received,Demand-driven synthetic replenishment delivery
408,408,2025-11-09,partial,Demand-driven synthetic replenishment delivery
409,409,2025-11-07,received,Demand-driven synthetic replenishment delivery
410,410,2025-11-05,received,Demand-driven synthetic replenishment delivery
411,411,2025-11-06,received,Demand-driven synthetic replenishment delivery
412,412,2025-11-08,received,Demand-driven synthetic replenishment delivery
413,413,2025-11-09,received,Demand-driven synthetic replenishment delivery
414,414,2025-11-10,received,Demand-driven synthetic replenishment delivery
415,415,2025-11-07,received,Demand-driven synthetic replenishment delivery
416,416,2025-11-08,received,Demand-driven synthetic replenishment delivery
417,417,2025-11-08,received,Demand-driven synthetic replenishment delivery
418,418,2025-11-08,received,Demand-driven synthetic replenishment delivery
419,419,2025-11-09,received,Demand-driven synthetic replenishment delivery
420,420,2025-11-10,received,Demand-driven synthetic replenishment delivery
421,421,2025-11-07,received,Demand-driven synthetic replenishment delivery
422,422,2025-11-08,received,Demand-driven synthetic replenishment delivery
423,423,2025-11-15,received,Demand-driven synthetic replenishment delivery
424,424,2025-11-15,received,Demand-driven synthetic replenishment delivery
425,425,2025-11-16,partial,Demand-driven synthetic replenishment delivery
426,426,2025-11-17,received,Demand-driven synthetic replenishment delivery
427,427,2025-11-14,received,Demand-driven synthetic replenishment delivery
428,428,2025-11-15,received,Demand-driven synthetic replenishment delivery
429,429,2025-11-15,received,Demand-driven synthetic replenishment delivery
430,430,2025-11-15,received,Demand-driven synthetic replenishment delivery
431,431,2025-11-16,received,Demand-driven synthetic replenishment delivery
432,432,2025-11-17,received,Demand-driven synthetic replenishment delivery
433,433,2025-11-14,received,Demand-driven synthetic replenishment delivery
434,434,2025-11-22,received,Demand-driven synthetic replenishment delivery
435,435,2025-11-22,received,Demand-driven synthetic replenishment delivery
436,436,2025-11-22,received,Demand-driven synthetic replenishment delivery
437,437,2025-11-23,received,Demand-driven synthetic replenishment delivery
438,438,2025-11-24,received,Demand-driven synthetic replenishment delivery
439,439,2025-11-21,received,Demand-driven synthetic replenishment delivery
440,440,2025-11-22,received,Demand-driven synthetic replenishment delivery
441,441,2025-11-22,received,Demand-driven synthetic replenishment delivery
442,442,2025-11-22,partial,Demand-driven synthetic replenishment delivery
443,443,2025-11-23,received,Demand-driven synthetic replenishment delivery
444,444,2025-12-01,received,Demand-driven synthetic replenishment delivery
445,445,2025-11-28,received,Demand-driven synthetic replenishment delivery
446,446,2025-11-29,received,Demand-driven synthetic replenishment delivery
447,447,2025-11-29,received,Demand-driven synthetic replenishment delivery
448,448,2025-11-29,received,Demand-driven synthetic replenishment delivery
