return_id,sale_item_id,processed_by_employee_id,return_time,quantity_returned,refund_amount,return_reason
31,46786,80,2026-07-19 08:00:00,2,10.87,Changed mind
32,108038,45,2026-04-21 18:15:00,4,3.44,Product not needed
33,8158,2,2025-12-04 08:00:00,3,16.30,Quality issue
34,49851,11,2026-01-20 13:00:00,1,3.04,Changed mind
35,11698,2,2025-12-01 18:25:00,2,7.60,Changed mind
36,3945,45,2026-07-31 20:55:00,1,5.76,Changed mind
37,73864,6,2025-11-30 18:50:00,2,5.42,Changed mind
38,63808,60,2026-06-02 20:00:00,2,7.16,Product not needed
39,70459,18,2026-01-03 18:05:00,2,7.16,Changed mind
40,851,67,2026-02-22 19:10:00,2,8.25,Quality issue
41,81105,49,2026-05-27 13:25:00,1,6.52,Incorrect item
42,3101,50,2026-03-15 20:35:00,2,10.32,Incorrect item
43,119838,29,2026-05-20 17:10:00,2,14.68,Quality issue
44,45416,67,2026-03-06 16:05:00,1,4.67,Quality issue
45,41488,7,2025-12-08 20:30:00,1,0.86,Changed mind
46,24875,66,2026-04-09 12:20:00,1,0.86,Damaged packaging
47,81826,49,2026-06-25 20:30:00,3,14.67,Quality issue
48,104425,51,2026-05-19 08:00:00,1,6.52,Damaged packaging
49,22082,54,2026-06-28 11:25:00,2,8.25,Incorrect item
50,121233,58,2026-07-14 10:10:00,3,39.16,Damaged packaging
51,59982,2,2026-07-22 13:40:00,1,10.33,Incorrect item
52,82882,21,2026-01-15 18:20:00,2,10.59,Incorrect item
53,41868,37,2026-03-09 09:30:00,3,19.56,Damaged packaging
54,30225,61,2026-07-31 09:00:00,1,3.58,Incorrect item
55,85391,49,2026-07-31 15:30:00,2,27.74,Damaged packaging
56,22254,54,2026-06-30 09:35:00,2,13.04,Incorrect item
57,65554,41,2026-02-12 14:00:00,1,5.98,Incorrect item
58,40046,6,2025-12-05 14:40:00,2,9.78,Quality issue
59,103335,49,2026-07-08 15:40:00,3,14.01,Quality issue
60,51643,13,2025-12-30 16:05:00,3,11.40,Damaged packaging
61,109676,13,2025-12-28 08:00:00,1,7.07,Product not needed
62,28347,67,2026-03-02 18:15:00,1,7.61,Changed mind
63,113557,28,2026-03-29 15:00:00,1,7.61,Product not needed
64,55497,24,2026-02-16 19:35:00,3,10.75,Incorrect item
65,4777,41,2026-02-08 08:00:00,2,7.06,Quality issue
66,71142,1,2025-11-19 19:40:00,2,8.69,Product not needed
67,97115,54,2026-06-27 19:40:00,1,6.52,Changed mind
68,14611,8,2026-01-09 09:00:00,2,7.24,Damaged packaging
69,96083,24,2026-02-15 11:25:00,1,5.98,Quality issue
70,114589,3,2025-12-03 09:00:00,2,9.34,Product not needed
71,18921,16,2026-01-20 13:25:00,2,8.98,Changed mind
72,78180,66,2026-04-08 21:10:00,1,13.05,Quality issue
73,33122,49,2026-07-23 15:25:00,1,6.52,Incorrect item
74,9382,6,2025-11-28 19:15:00,1,3.80,Product not needed
75,70148,1,2025-11-23 14:05:00,1,5.76,Damaged packaging
76,805,28,2026-03-30 16:00:00,1,9.79,Incorrect item
77,33274,41,2026-05-24 13:40:00,1,3.26,Damaged packaging
78,87589,31,2026-04-01 13:00:00,3,12.38,Quality issue
79,102273,68,2026-07-04 08:00:00,3,22.83,Incorrect item
80,73520,28,2026-03-28 12:00:00,1,7.07,Quality issue
81,86721,67,2026-04-16 17:40:00,2,7.16,Product not needed
82,104432,16,2026-01-19 17:10:00,1,6.52,Product not needed
83,101798,30,2026-02-23 12:10:00,3,19.57,Damaged packaging
84,25233,67,2026-02-22 12:10:00,2,11.41,Incorrect item
85,47716,11,2026-01-15 09:00:00,1,2.71,Changed mind
86,7442,18,2026-01-05 21:30:00,2,15.22,Quality issue
87,72413,44,2026-05-15 15:55:00,2,10.87,Incorrect item
88,80363,63,2026-06-14 08:00:00,2,5.42,Damaged packaging
89,83611,36,2025-11-14 11:05:00,2,7.60,Changed mind
90,75629,32,2026-03-04 08:00:00,1,14.14,Damaged packaging
91,9441,26,2026-03-14 09:00:00,1,2.17,Quality issue
92,68983,44,2026-05-20 18:25:00,1,4.89,Damaged packaging
93,25035,18,2026-01-05 14:10:00,1,7.61,Damaged packaging
94,49063,49,2026-07-04 20:20:00,2,10.87,Product not needed
95,47624,80,2026-07-19 14:00:00,1,0.86,Damaged packaging
96,79649,72,2026-04-27 12:55:00,1,0.86,Incorrect item
97,35322,52,2026-05-29 14:55:00,1,2.71,Damaged packaging
98,102948,53,2026-06-17 09:00:00,1,6.52,Quality issue
99,73548,13,2025-12-29 14:20:00,1,3.26,Product not needed
100,33702,41,2026-02-11 21:20:00,3,26.10,Product not needed
101,53578,49,2026-07-27 10:45:00,1,3.80,Quality issue
102,108557,34,2026-04-12 14:40:00,1,5.16,Quality issue
103,55695,1,2025-11-27 11:20:00,3,21.20,Changed mind
104,45799,8,2026-01-09 20:10:00,3,22.83,Product not needed
105,31317,44,2026-05-15 17:50:00,1,3.58,Quality issue
106,36911,58,2026-07-23 09:00:00,4,30.44,Changed mind
107,115837,49,2026-07-03 08:00:00,2,14.13,Product not needed
108,78433,13,2025-12-29 09:30:00,1,9.24,Changed mind
109,23421,11,2026-01-17 14:50:00,1,3.58,Changed mind
110,38887,20,2026-02-11 14:05:00,3,22.83,Incorrect item
111,101135,25,2026-02-26 14:45:00,1,7.61,Damaged packaging
112,36394,26,2026-03-14 13:00:00,4,28.26,Quality issue
113,23235,12,2025-12-12 19:45:00,2,7.16,Incorrect item
114,119923,46,2026-04-27 08:00:00,1,3.80,Damaged packaging
115,45582,25,2026-03-03 18:05:00,1,3.40,Damaged packaging
116,42258,38,2026-03-25 19:55:00,1,4.89,Changed mind
117,22216,37,2026-03-12 08:00:00,2,14.13,Damaged packaging
118,85721,32,2026-02-26 18:30:00,3,21.20,Incorrect item
119,23701,4,2025-12-19 19:35:00,2,15.22,Incorrect item
120,67084,25,2026-03-08 09:00:00,1,8.70,Damaged packaging
121,80917,6,2025-12-03 14:20:00,1,7.07,Changed mind
122,63124,5,2025-12-27 09:00:00,1,3.26,Incorrect item
123,96067,3,2025-12-02 19:45:00,1,7.43,Product not needed
124,83417,51,2026-05-16 15:50:00,1,4.97,Damaged packaging
125,69048,69,2026-02-04 12:00:00,1,6.52,Incorrect item
126,18422,30,2026-02-20 08:00:00,1,13.05,Incorrect item
127,105914,14,2025-12-16 19:55:00,1,0.32,Incorrect item
128,113527,17,2026-05-14 14:45:00,3,26.10,Changed mind
129,29044,52,2026-03-25 19:00:00,1,3.26,Quality issue
130,13742,17,2026-01-02 15:55:00,3,29.36,Damaged packaging
131,58062,18,2026-01-02 18:45:00,1,9.52,Changed mind
132,1666,3,2025-12-07 15:05:00,1,3.58,Quality issue
133,90030,56,2026-07-07 12:45:00,2,11.95,Damaged packaging
134,118132,40,2026-04-09 20:15:00,2,7.24,Changed mind
135,109529,37,2026-03-15 13:35:00,1,4.89,Incorrect item
136,40519,7,2025-12-10 08:00:00,1,4.67,Quality issue
137,81893,67,2026-03-08 20:00:00,1,10.33,Changed mind
138,96147,58,2025-11-21 17:20:00,3,16.30,Quality issue
139,41020,65,2026-06-22 16:05:00,1,9.79,Quality issue
140,45016,22,2026-02-17 18:40:00,2,28.29,Quality issue
141,109779,51,2026-05-15 11:50:00,2,10.87,Incorrect item
142,73890,43,2026-05-06 11:05:00,4,21.73,Quality issue
143,122966,55,2026-05-28 17:10:00,1,9.24,Changed mind
144,21114,55,2026-05-20 08:00:00,2,6.62,Incorrect item
145,53557,67,2026-02-27 21:05:00,4,26.09,Changed mind
146,98180,21,2025-11-09 15:40:00,1,13.05,Damaged packaging
147,116169,7,2025-12-19 13:00:00,1,5.98,Changed mind
148,8579,80,2026-07-16 18:20:00,1,5.43,Quality issue
149,83977,75,2026-07-03 11:10:00,3,19.56,Changed mind
150,38375,49,2026-05-26 21:55:00,3,21.20,Incorrect item
151,125255,40,2026-04-10 08:00:00,1,4.67,Changed mind
152,64301,17,2025-12-30 11:00:00,2,15.22,Product not needed
153,84879,8,2026-01-12 09:45:00,1,5.43,Incorrect item
154,8498,13,2026-01-03 14:50:00,3,16.30,Quality issue
155,92380,45,2026-07-31 20:55:00,4,30.44,Damaged packaging
156,62955,49,2026-07-31 19:10:00,1,5.22,Damaged packaging
157,64753,54,2026-06-24 18:35:00,2,10.50,Product not needed
158,57494,61,2026-07-31 17:20:00,2,10.87,Incorrect item
159,2851,13,2025-12-23 11:10:00,3,27.73,Damaged packaging
160,34950,13,2025-12-23 08:00:00,1,7.61,Changed mind
161,12653,49,2026-07-02 17:50:00,2,18.22,Quality issue
162,5814,30,2026-02-20 18:05:00,1,4.13,Damaged packaging
163,30545,23,2026-07-24 19:55:00,2,9.78,Incorrect item
164,71677,46,2026-05-01 12:05:00,1,6.25,Incorrect item
165,5256,26,2026-03-14 11:10:00,2,13.04,Quality issue
166,34634,12,2025-12-08 16:10:00,1,1.40,Quality issue
167,118590,8,2026-01-09 16:15:00,1,3.58,Changed mind
168,1844,17,2025-12-31 17:45:00,1,4.34,Incorrect item
169,63966,49,2026-07-28 18:40:00,1,3.80,Product not needed
170,114719,21,2026-01-13 08:00:00,3,21.61,Quality issue
171,3582,28,2026-03-21 14:20:00,2,9.50,Changed mind
172,12241,12,2026-05-11 09:40:00,1,3.07,Damaged packaging
173,26937,26,2026-03-16 19:45:00,2,9.78,Changed mind
174,73470,13,2025-12-20 08:00:00,1,0.86,Product not needed
175,47351,23,2026-02-08 19:30:00,1,6.52,Damaged packaging
176,62023,4,2025-12-09 20:15:00,2,7.71,Product not needed
177,3957,20,2026-02-13 16:25:00,2,9.34,Quality issue
178,75618,2,2025-11-28 15:50:00,1,5.98,Changed mind
179,115465,56,2026-07-04 09:00:00,1,6.52,Product not needed
180,30396,49,2026-07-31 19:00:00,1,9.79,Product not needed
181,100915,61,2026-07-31 17:15:00,2,9.78,Product not needed
182,88332,15,2026-02-07 14:35:00,2,5.42,Quality issue
183,3741,51,2026-05-08 20:10:00,3,19.02,Changed mind
184,43885,63,2026-06-13 19:30:00,2,10.87,Changed mind
185,21105,65,2026-06-27 08:00:00,1,9.79,Incorrect item
186,56635,53,2026-06-19 19:15:00,1,5.98,Damaged packaging
187,27666,39,2025-11-15 20:35:00,2,6.51,Changed mind
188,50660,69,2026-01-25 11:40:00,1,4.62,Quality issue
189,20293,49,2026-07-16 13:05:00,2,10.87,Incorrect item
190,123165,49,2026-06-11 20:50:00,1,10.33,Product not needed
191,8412,49,2026-06-14 13:35:00,1,3.80,Damaged packaging
192,106562,17,2025-12-26 12:20:00,1,7.61,Product not needed
193,22449,23,2026-02-04 08:00:00,2,11.25,Damaged packaging
194,67677,67,2026-04-12 11:05:00,2,17.40,Incorrect item
195,119039,65,2026-06-21 10:00:00,2,17.40,Product not needed
196,96883,21,2025-11-09 10:45:00,4,20.86,Damaged packaging
197,113607,36,2026-04-28 14:30:00,2,5.42,Damaged packaging
198,81284,1,2025-11-22 15:20:00,1,14.14,Damaged packaging
199,103277,49,2026-07-21 14:20:00,2,13.04,Product not needed
200,102022,1,2025-11-21 15:15:00,1,5.43,Incorrect item
201,88472,1,2026-05-09 18:25:00,1,7.61,Damaged packaging
202,15475,63,2026-06-11 17:40:00,2,15.22,Changed mind
203,54276,23,2026-02-02 11:15:00,1,4.67,Quality issue
204,57298,19,2026-01-23 08:00:00,2,28.29,Quality issue
205,69520,35,2026-04-23 17:00:00,2,9.34,Incorrect item
206,70254,20,2026-02-14 09:00:00,1,5.98,Incorrect item
207,76372,67,2026-03-04 08:00:00,1,4.89,Damaged packaging
208,11889,5,2025-12-29 15:50:00,1,5.22,Damaged packaging
209,92782,33,2026-02-07 08:00:00,3,29.36,Damaged packaging
210,37332,5,2026-07-24 18:25:00,3,11.40,Incorrect item
211,29010,8,2026-01-03 18:30:00,4,18.68,Changed mind
212,85936,20,2026-02-12 09:00:00,1,3.53,Changed mind
213,9270,5,2026-01-01 09:00:00,1,5.11,Product not needed
214,117940,68,2026-07-03 08:00:00,3,11.40,Quality issue
215,122868,46,2026-05-06 11:00:00,1,9.79,Changed mind
216,23101,65,2026-06-21 14:55:00,1,4.67,Product not needed
217,16214,3,2025-12-07 11:10:00,3,42.43,Product not needed
218,106315,30,2026-02-19 20:15:00,2,14.13,Damaged packaging
219,8397,41,2026-02-13 18:20:00,2,5.42,Quality issue
220,30846,60,2026-05-30 18:05:00,3,14.67,Incorrect item
221,103715,5,2025-12-24 16:30:00,4,56.57,Changed mind
222,53533,49,2026-06-22 08:00:00,1,5.43,Quality issue
223,49913,14,2025-12-20 19:30:00,3,14.01,Incorrect item
224,85405,21,2026-01-15 15:30:00,1,5.43,Changed mind
225,48411,11,2026-01-15 18:15:00,2,6.80,Quality issue
226,34444,51,2026-05-07 16:55:00,2,15.22,Product not needed
227,107135,61,2026-07-31 18:20:00,2,18.49,Damaged packaging
228,122321,53,2026-06-13 20:05:00,1,5.43,Changed mind
229,45830,63,2026-06-09 20:35:00,2,9.23,Product not needed
230,57948,66,2026-04-06 14:15:00,3,42.42,Changed mind
231,13382,23,2026-02-04 20:25:00,2,10.87,Changed mind
232,91147,49,2026-06-10 13:10:00,1,4.67,Incorrect item
233,43192,49,2026-06-10 15:30:00,1,5.11,Quality issue
234,101576,55,2026-05-25 14:20:00,4,10.84,Product not needed
235,8409,30,2026-02-18 08:00:00,1,4.67,Quality issue
236,90886,49,2026-07-31 17:20:00,1,4.34,Quality issue
237,85807,67,2026-01-22 19:25:00,3,28.14,Quality issue
238,116274,58,2026-07-26 13:20:00,2,14.13,Damaged packaging
239,575,35,2025-11-12 20:15:00,2,10.87,Changed mind
240,99040,61,2026-07-27 09:00:00,3,22.83,Incorrect item
241,10416,49,2026-07-21 15:35:00,1,3.26,Changed mind
242,67029,33,2026-05-22 14:05:00,1,9.38,Damaged packaging
243,32737,12,2026-05-11 18:35:00,1,5.98,Damaged packaging
244,93445,13,2025-12-23 08:00:00,3,41.88,Changed mind
245,32206,49,2026-07-05 12:40:00,1,0.86,Quality issue
246,66200,33,2026-05-23 20:35:00,2,9.78,Damaged packaging
247,43764,34,2026-04-13 18:55:00,1,5.11,Damaged packaging
248,136,12,2025-12-10 19:00:00,2,18.49,Incorrect item
249,91334,14,2025-12-24 16:10:00,3,21.20,Changed mind
250,80766,13,2026-01-06 16:40:00,3,24.46,Product not needed
251,68194,29,2026-05-20 15:00:00,2,7.60,Changed mind
252,77750,67,2026-04-14 13:55:00,3,31.00,Damaged packaging
253,34187,49,2026-06-27 16:40:00,4,26.09,Quality issue
254,16229,39,2026-03-26 17:20:00,1,5.98,Quality issue
255,91021,4,2025-12-08 17:10:00,2,14.13,Product not needed
256,34006,49,2026-07-30 20:25:00,1,0.86,Product not needed
257,15340,13,2025-11-19 19:40:00,3,15.32,Incorrect item
258,99788,68,2026-07-08 20:00:00,2,9.34,Product not needed
259,66581,23,2026-02-04 19:45:00,2,9.34,Product not needed
260,80195,40,2026-04-05 14:15:00,4,23.91,Damaged packaging
261,97700,66,2026-04-10 11:05:00,1,4.67,Incorrect item
262,42985,49,2026-06-24 17:25:00,1,4.89,Quality issue
263,71523,38,2026-03-21 13:00:00,2,10.43,Quality issue
264,40473,39,2026-03-30 08:00:00,1,3.26,Product not needed
265,104013,13,2025-12-30 08:00:00,1,8.15,Incorrect item
266,66067,49,2026-06-12 13:35:00,3,21.20,Damaged packaging
267,4471,52,2026-03-23 08:05:00,1,6.52,Changed mind
268,104475,13,2026-01-01 17:30:00,1,7.07,Incorrect item
269,123137,54,2026-06-22 09:00:00,1,7.61,Incorrect item
270,29864,20,2026-02-15 20:50:00,1,3.80,Changed mind
271,56515,49,2026-07-11 17:20:00,1,6.52,Changed mind
272,103576,28,2026-03-23 09:25:00,1,5.43,Quality issue
273,66185,46,2026-04-27 15:10:00,3,27.73,Incorrect item
274,101310,23,2026-02-02 18:40:00,1,4.34,Damaged packaging
275,106164,44,2026-05-08 19:10:00,2,11.52,Damaged packaging
276,31052,26,2026-03-09 17:05:00,1,3.62,Damaged packaging
277,15265,52,2026-03-28 15:55:00,1,1.62,Changed mind
278,114959,58,2026-07-23 11:55:00,1,7.07,Incorrect item
279,33119,49,2026-07-20 19:25:00,3,2.58,Product not needed
280,12931,2,2026-07-22 12:15:00,1,5.43,Changed mind
281,57005,72,2025-11-18 19:05:00,1,7.07,Damaged packaging
282,114354,49,2026-06-24 12:20:00,2,19.58,Product not needed
283,24830,5,2025-12-25 13:40:00,1,5.43,Quality issue
284,26130,39,2026-07-29 19:05:00,1,4.71,Incorrect item
285,66776,49,2026-06-27 20:10:00,3,19.56,Changed mind
286,125185,49,2026-06-12 12:40:00,3,15.65,Quality issue
287,49976,25,2026-03-05 16:40:00,1,6.52,Incorrect item
288,85185,58,2026-07-21 09:00:00,2,14.13,Changed mind
289,117634,51,2026-05-14 08:50:00,2,14.13,Damaged packaging
290,98978,20,2026-02-09 18:00:00,2,10.21,Product not needed
291,65242,2,2025-11-28 12:05:00,1,5.71,Damaged packaging
292,72515,49,2026-07-30 19:30:00,1,7.61,Product not needed
293,6810,49,2026-07-18 17:25:00,1,4.89,Incorrect item
294,97798,51,2026-05-17 16:50:00,1,7.61,Incorrect item
295,4327,15,2026-02-03 13:25:00,1,5.43,Product not needed
296,60200,29,2026-01-27 08:00:00,1,3.26,Changed mind
297,113931,33,2026-02-03 17:20:00,1,5.43,Changed mind
298,24776,21,2026-01-14 15:50:00,1,4.89,Damaged packaging
299,112058,72,2026-04-27 11:45:00,1,3.80,Quality issue
300,47675,4,2025-12-17 14:35:00,4,30.44,Incorrect item
301,67799,58,2026-07-17 18:50:00,2,17.40,Incorrect item
302,101628,50,2026-03-18 17:10:00,3,26.10,Damaged packaging
303,114694,65,2026-06-27 08:00:00,1,4.34,Changed mind
304,80101,47,2026-05-27 09:00:00,2,13.04,Quality issue
305,883,23,2026-02-07 17:50:00,3,16.30,Incorrect item
306,37549,5,2026-03-10 19:40:00,4,21.73,Damaged packaging
307,65380,36,2026-05-01 09:00:00,1,7.07,Product not needed
308,17229,13,2026-01-09 11:25:00,3,39.16,Product not needed
309,25011,66,2026-04-04 13:15:00,2,6.07,Damaged packaging
310,106220,18,2026-01-03 10:15:00,3,13.03,Incorrect item
311,34476,38,2026-03-21 12:20:00,2,15.22,Product not needed
312,15730,35,2026-04-24 12:25:00,2,15.22,Quality issue
313,27803,4,2025-12-22 09:00:00,2,11.95,Incorrect item
314,7673,50,2026-03-12 17:55:00,4,19.01,Changed mind
315,29691,50,2026-03-19 08:00:00,1,4.89,Quality issue
316,104720,60,2026-06-05 08:00:00,3,13.14,Changed mind
317,66079,32,2026-03-01 08:00:00,1,4.89,Product not needed
318,31368,47,2026-05-21 09:15:00,3,22.83,Damaged packaging
319,106468,33,2026-02-06 13:50:00,2,10.87,Product not needed
320,38467,20,2026-02-12 14:10:00,2,15.22,Damaged packaging
321,11938,8,2026-01-10 14:40:00,1,2.71,Product not needed
322,73792,44,2026-05-13 15:25:00,2,7.16,Quality issue
323,17283,66,2026-04-04 11:05:00,2,11.95,Quality issue
324,26559,58,2026-07-26 09:00:00,4,21.73,Changed mind
325,52352,1,2025-11-23 08:00:00,3,12.38,Incorrect item
326,26951,55,2026-05-29 14:25:00,1,5.98,Quality issue
327,92030,22,2026-02-21 20:30:00,2,15.22,Damaged packaging
328,7908,49,2026-07-31 13:45:00,1,4.89,Damaged packaging
329,40434,60,2026-05-29 19:25:00,3,22.83,Quality issue
330,80761,39,2026-04-02 08:00:00,2,16.31,Quality issue
331,39193,7,2025-12-09 08:00:00,1,5.43,Changed mind
332,58660,21,2026-01-17 15:35:00,2,9.78,Changed mind
333,76188,65,2026-06-26 16:40:00,1,2.71,Quality issue
334,39583,16,2025-11-05 18:20:00,1,6.52,Quality issue
335,17443,5,2026-02-05 18:45:00,1,4.89,Product not needed
336,52308,4,2025-12-15 16:55:00,1,5.98,Incorrect item
337,28261,34,2026-04-13 13:20:00,1,7.61,Incorrect item
338,19109,67,2026-04-11 14:35:00,2,9.78,Product not needed
339,77995,67,2026-04-13 11:15:00,1,4.89,Changed mind
340,11601,56,2025-11-19 09:30:00,2,13.04,Changed mind
341,28728,11,2026-01-18 14:45:00,2,15.76,Product not needed
342,104657,49,2026-07-31 14:15:00,2,6.51,Changed mind
343,98965,68,2025-11-24 18:15:00,3,11.40,Product not needed
344,13146,64,2026-03-04 15:35:00,1,7.07,Quality issue
345,38783,67,2026-01-23 10:05:00,3,16.30,Incorrect item
346,59004,50,2026-03-20 15:20:00,2,14.13,Incorrect item
347,49894,50,2026-05-07 15:20:00,1,5.22,Product not needed
348,111971,32,2026-02-26 08:00:00,1,4.67,Product not needed
349,36007,55,2026-05-20 16:45:00,2,5.42,Product not needed
350,45080,47,2026-05-23 18:40:00,1,1.89,Product not needed
351,6426,41,2026-02-08 16:25:00,1,8.70,Quality issue
352,67945,61,2026-07-31 15:35:00,1,5.43,Changed mind
353,59496,31,2026-04-08 09:00:00,3,16.30,Damaged packaging
354,107067,49,2026-06-16 12:45:00,2,18.49,Damaged packaging
355,53753,28,2026-03-27 16:10:00,2,15.22,Incorrect item
356,47834,45,2026-04-16 18:15:00,1,5.43,Incorrect item
357,68654,37,2026-03-10 15:55:00,1,6.52,Incorrect item
358,78188,12,2025-12-14 14:20:00,3,16.30,Changed mind
359,84423,18,2026-01-04 18:55:00,1,0.86,Product not needed
360,101237,13,2025-11-23 15:30:00,1,4.89,Damaged packaging
361,103536,53,2026-06-15 13:55:00,1,9.79,Product not needed
362,115487,26,2026-03-18 16:00:00,1,5.98,Changed mind
363,39635,49,2026-07-24 19:10:00,1,13.42,Quality issue
364,32132,53,2026-06-12 14:45:00,2,9.78,Quality issue
365,111873,68,2026-07-07 17:10:00,2,13.77,Incorrect item
366,62892,49,2026-07-21 08:00:00,3,16.30,Incorrect item
367,102175,31,2026-04-09 17:40:00,1,5.98,Incorrect item
368,115650,14,2025-12-19 14:50:00,2,18.49,Incorrect item
369,25077,20,2026-02-13 09:00:00,1,2.71,Changed mind
370,33870,68,2026-07-05 08:00:00,1,6.52,Changed mind
371,55296,56,2026-07-05 14:30:00,1,3.80,Incorrect item
372,50769,54,2026-06-30 10:20:00,1,5.43,Changed mind
373,4459,38,2026-07-29 17:20:00,1,9.24,Product not needed
374,75500,56,2026-07-06 09:00:00,3,16.30,Incorrect item
375,55812,12,2025-12-13 11:45:00,1,6.52,Quality issue
376,16894,54,2026-06-26 09:00:00,2,13.59,Damaged packaging
377,1916,13,2025-12-27 16:55:00,3,39.16,Product not needed
378,106798,49,2026-07-30 13:15:00,3,27.19,Quality issue
379,11188,51,2026-05-10 18:00:00,1,7.61,Incorrect item
380,45282,35,2026-04-23 12:35:00,2,7.60,Incorrect item
381,89075,4,2025-12-22 09:40:00,3,16.30,Damaged packaging
382,59807,20,2026-02-12 09:00:00,3,21.20,Changed mind
383,58873,33,2026-05-22 14:45:00,1,3.58,Incorrect item
384,124342,13,2026-01-01 18:45:00,1,4.89,Product not needed
385,9506,4,2025-12-12 09:00:00,4,52.21,Changed mind
386,30686,20,2026-02-14 11:20:00,2,10.87,Incorrect item
387,97339,39,2026-03-26 18:55:00,1,10.33,Product not needed
388,88961,37,2026-03-10 20:10:00,2,10.43,Damaged packaging
389,114890,11,2026-01-19 17:35:00,1,3.80,Quality issue
390,67875,67,2026-04-16 17:25:00,1,7.07,Product not needed
391,8003,13,2025-12-25 16:05:00,1,5.43,Changed mind
392,98479,36,2026-04-30 14:15:00,1,3.80,Incorrect item
393,7726,68,2026-07-02 12:40:00,2,7.60,Changed mind
394,117915,13,2026-01-06 10:10:00,1,1.08,Quality issue
395,118833,29,2026-05-05 14:15:00,1,5.98,Incorrect item
396,22495,67,2026-02-21 14:20:00,3,17.93,Quality issue
397,8731,54,2026-07-02 15:05:00,2,15.22,Changed mind
398,25091,49,2026-07-31 12:20:00,1,7.07,Damaged packaging
399,59475,49,2026-07-31 19:40:00,1,10.33,Damaged packaging
400,8723,12,2026-05-11 15:40:00,2,14.13,Damaged packaging
401,22858,58,2026-07-16 16:20:00,1,5.43,Incorrect item
402,811,13,2026-01-06 08:00:00,2,13.04,Quality issue
403,61707,30,2026-02-17 16:20:00,1,11.42,Changed mind
404,123052,7,2025-12-10 08:00:00,3,16.30,Incorrect item
405,123625,58,2026-07-23 20:25:00,3,14.01,Product not needed
406,55239,49,2026-07-31 15:10:00,1,4.13,Damaged packaging
407,48673,44,2026-05-08 09:00:00,1,4.34,Incorrect item
408,91060,35,2026-04-27 09:00:00,2,14.13,Incorrect item
409,46065,11,2026-01-24 17:45:00,2,14.13,Quality issue
410,25792,62,2025-11-29 13:10:00,1,7.61,Quality issue
411,19546,44,2026-05-06 14:15:00,1,5.43,Product not needed
412,83137,48,2026-06-03 12:40:00,1,5.43,Product not needed
413,36043,71,2025-11-26 09:00:00,2,10.87,Incorrect item
414,93279,26,2026-03-18 15:10:00,2,28.28,Quality issue
415,105643,38,2026-03-25 17:30:00,1,6.79,Incorrect item
416,3374,20,2026-02-14 16:50:00,2,8.25,Quality issue
417,91408,64,2025-11-23 18:15:00,1,3.26,Quality issue
418,33283,51,2026-05-09 08:00:00,1,7.61,Quality issue
419,20430,28,2026-03-22 14:30:00,1,0.86,Damaged packaging
420,23822,18,2026-01-06 12:20:00,1,3.26,Changed mind
421,78422,20,2026-02-12 20:10:00,3,14.01,Damaged packaging
422,3642,36,2026-04-27 20:35:00,2,13.04,Changed mind
423,82643,51,2026-05-17 16:30:00,2,14.13,Product not needed
424,111020,49,2026-07-16 19:25:00,3,14.67,Damaged packaging
425,152,58,2026-07-16 09:00:00,1,9.79,Damaged packaging
426,40083,56,2026-07-07 09:00:00,1,7.07,Changed mind
