shift_id,employee_id,store_id,scheduled_start,scheduled_end,actual_start,actual_end,shift_status
108,4,3,2025-12-21 17:00:00,2025-12-21 21:00:00,2025-12-21 17:00:00,2025-12-21 21:00:00,completed
109,4,3,2025-12-01 12:00:00,2025-12-01 18:00:00,,,missed
110,4,3,2025-12-22 09:00:00,2025-12-22 17:00:00,2025-12-22 09:00:00,2025-12-22 17:00:00,completed
111,4,3,2026-04-30 10:00:00,2026-04-30 18:00:00,,,cancelled
112,4,3,2025-12-22 17:00:00,2025-12-22 21:00:00,2025-12-22 17:00:00,2025-12-22 21:00:00,completed
113,5,3,2026-05-18 09:00:00,2026-05-18 17:00:00,,,cancelled
114,5,3,2026-06-12 09:00:00,2026-06-12 13:00:00,,,missed
115,5,3,2025-12-23 09:00:00,2025-12-23 17:00:00,2025-12-23 09:00:00,2025-12-23 17:00:00,completed
116,5,3,2025-12-23 17:00:00,2025-12-23 21:00:00,2025-12-23 17:00:00,2025-12-23 21:00:00,completed
117,5,3,2025-12-24 09:00:00,2025-12-24 17:00:00,2025-12-24 09:00:00,2025-12-24 17:00:00,completed
118,5,3,2025-12-24 17:00:00,2025-12-24 21:00:00,2025-12-24 17:00:00,2025-12-24 21:00:00,completed
119,5,3,2025-12-25 09:00:00,2025-12-25 17:00:00,2025-12-25 09:00:00,2025-12-25 17:00:00,completed
120,5,3,2025-11-03 09:00:00,2025-11-03 17:00:00,2025-11-03 09:00:00,2025-11-03 17:00:00,completed
121,5,3,2025-12-25 17:00:00,2025-12-25 21:00:00,2025-12-25 17:00:00,2025-12-25 21:00:00,completed
122,5,3,2025-12-26 09:00:00,2025-12-26 17:00:00,2025-12-26 09:00:00,2025-12-26 17:00:00,completed
123,5,3,2025-12-26 17:00:00,2025-12-26 21:00:00,2025-12-26 17:00:00,2025-12-26 21:00:00,completed
124,5,3,2025-12-27 09:00:00,2025-12-27 17:00:00,2025-12-27 09:00:00,2025-12-27 17:00:00,completed
125,5,3,2025-12-27 17:00:00,2025-12-27 21:00:00,2025-12-27 17:00:00,2025-12-27 21:00:00,completed
126,5,3,2025-11-03 17:00:00,2025-11-03 21:00:00,2025-11-03 17:00:00,2025-11-03 21:00:00,completed
127,5,3,2025-12-28 09:00:00,2025-12-28 17:00:00,2025-12-28 09:00:00,2025-12-28 17:00:00,completed
128,5,3,2025-12-28 17:00:00,2025-12-28 21:00:00,2025-12-28 17:00:00,2025-12-28 21:00:00,completed
129,5,3,2025-12-29 09:00:00,2025-12-29 17:00:00,2025-12-29 09:00:00,2025-12-29 17:00:00,completed
130,5,3,2025-12-29 17:00:00,2025-12-29 21:00:00,2025-12-29 17:00:00,2025-12-29 21:00:00,completed
131,5,3,2025-12-30 09:00:00,2025-12-30 17:00:00,2025-12-30 09:00:00,2025-12-30 17:00:00,completed
132,5,3,2025-12-30 17:00:00,2025-12-30 21:00:00,2025-12-30 17:00:00,2025-12-30 21:00:00,completed
133,5,3,2025-12-31 09:00:00,2025-12-31 17:00:00,2025-12-31 09:00:00,2025-12-31 17:00:00,completed
134,5,3,2026-01-07 14:00:00,2026-01-07 18:00:00,,,missed
135,5,3,2025-12-31 17:00:00,2025-12-31 21:00:00,2025-12-31 17:00:00,2025-12-31 21:00:00,completed
136,5,3,2026-01-01 09:00:00,2026-01-01 17:00:00,2026-01-01 09:00:00,2026-01-01 17:00:00,completed
137,5,3,2026-01-01 17:00:00,2026-01-01 21:00:00,2026-01-01 17:00:00,2026-01-01 21:00:00,completed
138,5,3,2026-01-02 09:00:00,2026-01-02 17:00:00,2026-01-02 09:00:00,2026-01-02 17:00:00,completed
139,5,3,2026-01-02 17:00:00,2026-01-02 21:00:00,2026-01-02 17:00:00,2026-01-02 21:00:00,completed
140,5,3,2026-01-03 09:30:00,2026-01-03 17:30:00,2026-01-03 09:30:00,2026-01-03 17:30:00,completed
141,8,3,2026-01-03 17:00:00,2026-01-03 21:00:00,2026-01-03 17:00:00,2026-01-03 21:00:00,completed
142,5,3,2026-01-04 09:00:00,2026-01-04 17:00:00,2026-01-04 09:00:00,2026-01-04 17:00:00,completed
143,5,3,2026-01-04 17:00:00,2026-01-04 21:00:00,2026-01-04 17:00:00,2026-01-04 21:00:00,completed
144,6,1,2025-11-28 17:15:00,2025-11-28 22:00:00,2025-11-28 17:15:00,2025-11-28 22:00:00,completed
145,6,1,2025-11-29 08:15:00,2025-11-29 16:15:00,2025-11-29 08:15:00,2025-11-29 16:15:00,completed
146,6,1,2025-11-29 16:15:00,2025-11-29 22:00:00,2025-11-29 16:15:00,2025-11-29 22:00:00,completed
147,6,1,2025-11-30 08:15:00,2025-11-30 16:15:00,2025-11-30 08:15:00,2025-11-30 16:15:00,completed
148,6,1,2025-11-30 16:15:00,2025-11-30 22:00:00,2025-11-30 16:15:00,2025-11-30 22:00:00,completed
149,6,1,2025-12-01 08:00:00,2025-12-01 16:00:00,2025-12-01 08:00:00,2025-12-01 16:00:00,completed
150,6,1,2025-12-01 17:00:00,2025-12-01 22:00:00,2025-12-01 17:00:00,2025-12-01 22:00:00,completed
151,6,1,2025-12-02 08:30:00,2025-12-02 16:30:00,2025-12-02 08:30:00,2025-12-02 16:30:00,completed
152,6,1,2025-12-02 16:30:00,2025-12-02 22:00:00,2025-12-02 16:30:00,2025-12-02 22:00:00,completed
153,6,1,2025-12-03 08:15:00,2025-12-03 16:15:00,2025-12-03 08:15:00,2025-12-03 16:15:00,completed
154,6,1,2025-12-03 16:45:00,2025-12-03 22:00:00,2025-12-03 16:45:00,2025-12-03 22:00:00,completed
155,6,1,2026-05-03 16:00:00,2026-05-03 22:00:00,2026-05-03 16:00:00,2026-05-03 22:00:00,completed
156,6,1,2025-12-04 08:00:00,2025-12-04 16:00:00,2025-12-04 08:00:00,2025-12-04 16:00:00,completed
157,6,1,2025-12-04 16:15:00,2025-12-04 22:00:00,2025-12-04 16:15:00,2025-12-04 22:00:00,completed
158,6,1,2025-12-05 08:15:00,2025-12-05 16:15:00,2025-12-05 08:15:00,2025-12-05 16:15:00,completed
159,6,1,2025-12-05 16:30:00,2025-12-05 22:00:00,2025-12-05 16:30:00,2025-12-05 22:00:00,completed
160,6,1,2025-12-06 08:45:00,2025-12-06 16:45:00,2025-12-06 08:45:00,2025-12-06 16:45:00,completed
161,6,1,2025-12-06 17:00:00,2025-12-06 22:00:00,2025-12-06 17:00:00,2025-12-06 22:00:00,completed
162,6,1,2025-12-07 08:00:00,2025-12-07 16:00:00,2025-12-07 08:00:00,2025-12-07 16:00:00,completed
163,6,1,2025-12-07 16:15:00,2025-12-07 22:00:00,2025-12-07 16:15:00,2025-12-07 22:00:00,completed
164,7,2,2025-12-08 08:15:00,2025-12-08 16:15:00,2025-12-08 08:15:00,2025-12-08 16:15:00,completed
165,7,2,2026-07-23 08:00:00,2026-07-23 16:00:00,2026-07-23 08:00:00,2026-07-23 16:00:00,completed
166,7,2,2025-12-08 16:15:00,2025-12-08 21:00:00,2025-12-08 16:15:00,2025-12-08 21:00:00,completed
167,7,2,2025-12-09 08:00:00,2025-12-09 16:00:00,2025-12-09 08:00:00,2025-12-09 16:00:00,completed
168,7,2,2025-11-01 16:15:00,2025-11-01 21:00:00,2025-11-01 16:15:00,2025-11-01 21:00:00,completed
169,7,2,2025-12-09 16:15:00,2025-12-09 21:00:00,2025-12-09 16:15:00,2025-12-09 21:00:00,completed
170,7,2,2025-12-10 08:00:00,2025-12-10 16:00:00,2025-12-10 08:00:00,2025-12-10 16:00:00,completed
171,7,2,2025-12-10 16:00:00,2025-12-10 21:00:00,2025-12-10 16:00:00,2025-12-10 21:00:00,completed
172,7,2,2025-12-11 08:00:00,2025-12-11 16:00:00,2025-12-11 08:00:00,2025-12-11 16:00:00,completed
173,7,2,2025-12-11 16:00:00,2025-12-11 21:00:00,2025-12-11 16:00:00,2025-12-11 21:00:00,completed
174,7,2,2025-12-12 08:00:00,2025-12-12 16:00:00,2025-12-12 08:00:00,2025-12-12 16:00:00,completed
175,7,2,2025-12-12 16:00:00,2025-12-12 21:00:00,2025-12-12 16:00:00,2025-12-12 21:00:00,completed
176,7,2,2025-12-13 08:00:00,2025-12-13 16:00:00,2025-12-13 08:00:00,2025-12-13 16:00:00,completed
177,7,2,2025-12-13 16:30:00,2025-12-13 21:00:00,2025-12-13 16:30:00,2025-12-13 21:00:00,completed
178,7,2,2025-12-14 09:00:00,2025-12-14 17:00:00,2025-12-14 09:00:00,2025-12-14 17:00:00,completed
179,7,2,2025-12-14 17:00:00,2025-12-14 21:00:00,2025-12-14 17:00:00,2025-12-14 21:00:00,completed
180,7,2,2025-12-15 08:15:00,2025-12-15 16:15:00,2025-12-15 08:15:00,2025-12-15 16:15:00,completed
181,7,2,2026-01-14 09:00:00,2026-01-14 13:00:00,,,cancelled
182,7,2,2026-07-23 16:00:00,2026-07-23 21:00:00,2026-07-23 16:00:00,2026-07-23 21:00:00,completed
183,7,2,2025-12-15 17:00:00,2025-12-15 21:00:00,2025-12-15 17:00:00,2025-12-15 21:00:00,completed
184,7,2,2025-12-16 08:00:00,2025-12-16 16:00:00,2025-12-16 08:00:00,2025-12-16 16:00:00,completed
185,7,2,2025-12-16 16:30:00,2025-12-16 21:00:00,2025-12-16 16:30:00,2025-12-16 21:00:00,completed
186,7,2,2025-12-17 08:30:00,2025-12-17 16:30:00,2025-12-17 08:30:00,2025-12-17 16:30:00,completed
187,7,2,2025-11-02 08:30:00,2025-11-02 16:30:00,2025-11-02 08:30:00,2025-11-02 16:30:00,completed
188,7,2,2025-11-02 16:45:00,2025-11-02 21:00:00,2025-11-02 16:45:00,2025-11-02 21:00:00,completed
189,7,2,2025-12-17 16:30:00,2025-12-17 21:00:00,2025-12-17 16:30:00,2025-12-17 21:00:00,completed
190,7,2,2025-12-18 08:45:00,2025-12-18 16:45:00,2025-12-18 08:45:00,2025-12-18 16:45:00,completed
191,7,2,2025-12-18 17:00:00,2025-12-18 21:00:00,2025-12-18 17:00:00,2025-12-18 21:00:00,completed
192,7,2,2025-12-19 08:00:00,2025-12-19 16:00:00,2025-12-19 08:00:00,2025-12-19 16:00:00,completed
193,8,3,2026-01-05 09:00:00,2026-01-05 17:00:00,2026-01-05 09:00:00,2026-01-05 17:00:00,completed
194,8,3,2026-01-05 17:00:00,2026-01-05 21:00:00,2026-01-05 17:00:00,2026-01-05 21:00:00,completed
195,8,3,2026-01-06 09:15:00,2026-01-06 17:15:00,2026-01-06 09:15:00,2026-01-06 17:15:00,completed
196,5,3,2026-01-06 17:00:00,2026-01-06 21:00:00,2026-01-06 17:00:00,2026-01-06 21:00:00,completed
197,8,3,2026-01-07 09:00:00,2026-01-07 17:00:00,2026-01-07 09:00:00,2026-01-07 17:00:00,completed
198,8,3,2026-01-07 17:00:00,2026-01-07 21:00:00,2026-01-07 17:00:00,2026-01-07 21:00:00,completed
199,8,3,2026-01-08 09:00:00,2026-01-08 17:00:00,2026-01-08 09:00:00,2026-01-08 17:00:00,completed
200,8,3,2026-02-10 09:00:00,2026-02-10 17:00:00,,,cancelled
201,8,3,2026-01-08 17:00:00,2026-01-08 21:00:00,2026-01-08 17:00:00,2026-01-08 21:00:00,completed
202,8,3,2026-01-09 09:00:00,2026-01-09 17:00:00,2026-01-09 09:00:00,2026-01-09 17:00:00,completed
203,8,3,2026-01-09 17:00:00,2026-01-09 21:00:00,2026-01-09 17:00:00,2026-01-09 21:00:00,completed
204,8,3,2026-01-10 09:00:00,2026-01-10 17:00:00,2026-01-10 09:00:00,2026-01-10 17:00:00,completed
205,8,3,2026-01-10 17:00:00,2026-01-10 21:00:00,2026-01-10 17:00:00,2026-01-10 21:00:00,completed
206,8,3,2026-01-11 09:00:00,2026-01-11 17:00:00,2026-01-11 09:00:00,2026-01-11 17:00:00,completed
207,8,3,2026-01-11 17:00:00,2026-01-11 21:00:00,2026-01-11 17:00:00,2026-01-11 21:00:00,completed
208,8,3,2026-01-12 09:00:00,2026-01-12 17:00:00,2026-01-12 09:00:00,2026-01-12 17:00:00,completed
209,8,3,2026-02-05 10:00:00,2026-02-05 16:00:00,,,cancelled
210,8,3,2026-01-12 17:00:00,2026-01-12 21:00:00,2026-01-12 17:00:00,2026-01-12 21:00:00,completed
211,8,3,2026-01-13 09:15:00,2026-01-13 17:15:00,2026-01-13 09:15:00,2026-01-13 17:15:00,completed
212,5,3,2026-01-13 17:00:00,2026-01-13 21:00:00,2026-01-13 17:00:00,2026-01-13 21:00:00,completed
213,8,3,2026-01-14 09:00:00,2026-01-14 17:00:00,2026-01-14 09:00:00,2026-01-14 17:00:00,completed
214,8,3,2026-01-14 17:00:00,2026-01-14 21:00:00,2026-01-14 17:00:00,2026-01-14 21:00:00,completed
215,13,2,2025-12-19 16:15:00,2025-12-19 21:00:00,2025-12-19 16:15:00,2025-12-19 21:00:00,completed
216,13,2,2025-12-20 08:00:00,2025-12-20 16:00:00,2025-12-20 08:00:00,2025-12-20 16:00:00,completed
217,13,2,2025-12-20 16:15:00,2025-12-20 21:00:00,2025-12-20 16:15:00,2025-12-20 21:00:00,completed
218,13,2,2025-12-21 09:30:00,2025-12-21 17:30:00,2025-12-21 09:30:00,2025-12-21 17:30:00,completed
219,10,2,2026-05-24 12:00:00,2026-05-24 16:00:00,,,cancelled
220,23,2,2025-12-21 17:00:00,2025-12-21 21:00:00,2025-12-21 17:00:00,2025-12-21 21:00:00,completed
221,13,2,2025-12-22 09:30:00,2025-12-22 17:30:00,2025-12-22 09:30:00,2025-12-22 17:30:00,completed
222,23,2,2025-12-22 17:00:00,2025-12-22 21:00:00,2025-12-22 17:00:00,2025-12-22 21:00:00,completed
223,13,2,2025-11-03 08:00:00,2025-11-03 16:00:00,2025-11-03 08:00:00,2025-11-03 16:00:00,completed
224,10,2,2026-07-13 11:00:00,2026-07-13 17:00:00,,,cancelled
225,13,2,2025-12-23 08:00:00,2025-12-23 16:00:00,2025-12-23 08:00:00,2025-12-23 16:00:00,completed
226,13,2,2025-12-23 16:15:00,2025-12-23 21:00:00,2025-12-23 16:15:00,2025-12-23 21:00:00,completed
227,10,2,2026-07-01 08:00:00,2026-07-01 16:00:00,,,cancelled
228,10,2,2026-07-19 13:00:00,2026-07-19 21:00:00,,,cancelled
229,13,2,2025-12-24 08:15:00,2025-12-24 16:15:00,2025-12-24 08:15:00,2025-12-24 16:15:00,completed
230,13,2,2025-12-24 17:00:00,2025-12-24 21:00:00,2025-12-24 17:00:00,2025-12-24 21:00:00,completed
231,13,2,2025-12-25 08:00:00,2025-12-25 16:00:00,2025-12-25 08:00:00,2025-12-25 16:00:00,completed
232,13,2,2025-12-25 16:00:00,2025-12-25 21:00:00,2025-12-25 16:00:00,2025-12-25 21:00:00,completed
233,13,2,2025-12-26 09:00:00,2025-12-26 17:00:00,2025-12-26 09:00:00,2025-12-26 17:00:00,completed
234,13,2,2025-12-26 17:00:00,2025-12-26 21:00:00,2025-12-26 17:00:00,2025-12-26 21:00:00,completed
235,13,2,2025-11-03 17:00:00,2025-11-03 21:00:00,2025-11-03 17:00:00,2025-11-03 21:00:00,completed
